FF,Publish,Photo Ready?,List on front page?,Gender,Account ID,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Facebook,P Twitter,P LinkedIn
,,,,,,Katelyn,Lyster,Co-Founder,InfiniteCanvasApp.com,,,,,,"Katelyn Lyster is co-founder of InfiniteCanvasApp.com. She leads the content evangelism, business development and marketing initiatives. Katelyn’s experience spans international education, human resources, mobile technology, and environmental activism. Her background includes: fundraising and event management for various social causes; project management in executive recruitment for Ivy League universities and national companies; facilitating cultural immersion programs for visiting international students; and consulting with non-profits on effective engagement strategy. Katelyn recently attended Rio+20, the United Nations Conference on Sustainable Development in Rio de Janeiro, Brazil as an official delegate. Her current focus is using innovative tools in technology and education to empower positive social change.",,,,,,
y,y,y,y,m,,Vineet,Madan,"SVP, New Ventures and Strategic Services",McGraw-Hill Education,"SVP, New Ventures and Strategic Services, McGraw-Hill Education",,,speaker,y,"Vineet oversees McGraw-Hill Education’s strategic planning, reengineering, major partnerships, market development, venture investments and M&A. In his seven plus years at McGraw-Hill he has filled various senior leadership roles with a keen focus on directing the company’s digital transformation. He has previously worked at J.P. Morgan Chase & Co. and Booz Allen Hamilton (now Booz & Co.)Current or prior Board memberships include Software & Information Industry Association – Education division, Inkling and HotChalk. He holds a bachelor’s degree in mechanical engineering from Columbia University and a MBA, with honors, in finance and economics from Columbia University’s Graduate School of Business. ",,"For 7+ years at McGraw-Hill Vineet has focused on directing the company’s digital transformation. He oversees strategic planning, reengineering, major partnerships, market development, venture investments and M&A. ",,,,
y,y,y,y,m,,Mehdi,Maghsoodnia,CEO,Rafter,"CEO, Rafter",,,speaker,y,"A seasoned Silicon Valley entrepreneur and leader, Rafter CEO Mehdi Maghsoodnia has more than 20 years of experience building great teams and operating both startups and public companies. Prior to Rafter, Mehdi served as SVP of products and services at CafePress, where he joined the team in the early days and grew the company to over $130M in revenues. Prior to CafePress, Mehdi was SVP of products at Intellisync, which owned 90% of the mobile sync market before Nokia bought the company for $450M. Mehdi has held a number of executive positions at other Silicon Valley companies and currently sits on the boards of FaceTime, Pbworks and Fotomoto.
",,,,,,
y,y,y,y,m,,Om,Malik,Founder and Senior Writer,GigaOM,"Founder and Senior Writer, GigaOM",,,speaker,y,"Om Malik has more than 15 years of experience as a journalist covering technology and business news. He was part of the founding team of Forbes.com as a Senior Editor. He then went on to become a senior writer at Red Herring during its glory days before joining Business 2.0 in March 2003, covering telecom, innovation and broadband stories. His contributions have been published in The Wall Street Journal, The Economist and MIT Technology Review. Additionally, Om is the author of “Broadbandits: Inside the $750 Billion Telecom Heist.” He is also the recipient of many industry awards, including Excellence in Journalism from the Society of Professional Journalists in 2001 and the Gold Award from American Society of Business Publication Editors in 2001.",,,,,,
,,,,,,Nishant,Mani,VP Partnerships and Marketing,Dashlane,,,,,,"Nishant Mani is the VP of Partnerships & Marketing at Dashlane, and is responsible for scaling the Dashlane customer and revenue base. Before Dashlane, he was Chief Marketing Officer at Yext, creating their targeted customer acquisition engine as well as building the brand for their new flagship local search product for businesses. Prior to that, he scaled and ran Capital One Card’s online acquisition marketing across all channels, building a highly analytical and targeted marketing engine. He holds a Bachelor's in Engineering from IIT Bombay and an MBA from NYU Stern.",,,,,,
y,y,y,y,m,,Sebastien,MarineauMes,SVP BlackBerry OS and QNX Engineering,RIM/QNX Software Systems,"SVP BlackBerry OS and QNX Engineering, RIM/QNX Software Systems",,,speaker,y,"As Senior Vice President of BlackBerry OS and QNX Engineering at Research In Motion (RIM), Sebastien Marineau-Mes is responsible for all research and development activities relating to the BlackBerry OS, including security, networking, media, graphics, web runtime, and development tools. He is also responsible for QNX® software products, such as the QNX CAR™ application platform. Prior to joining RIM with the June 2010 acquisition of QNX Software Systems, Sebastien held positions at QNX as Director of the OS Group and Vice President of Engineering. He was also the founding lead of the Eclipse CDT project. Sebastien holds a Bachelor of Science degree in Mechanical Engineering, Magna Cum Laude, from the University of Ottawa.",,,,,,
y,y,y,y,m,,Clint ,McClellan,"Senior Director, Market Development, Qualcomm and President and Chairman",Continua Health Alliance,"Senior Director, Market Development, Qualcomm and President and Chairman, Continua Health Alliance",,,speaker,y,"Clint McClellan is currently the senior director of Market Development for QUALCOMM Incorporated. McClellan's current responsibilities include establishing opportunities in the Life Sciences market. McClellan joined QUALCOMM in December of 1997 as director of strategic marketing. McClellan brings a wealth of wireless industry analysis experience to QUALCOMM. Since joining QUALCOMM, McClellan has served in business development roles and established the Global Industry Analyst program and Global Market Intelligence program at QUALCOMM. Currently McClellan service as the Board Chairman for the Foundation for the Children of the Californias which supports Hospital Infantil, a pediatric Hospital, in Tijuana, Mexico. He also serves on the boards of CommNexus and the Wireless Communications Alliance.",,,,http://www.facebook.com/qualcomm,@Qualcomm,
y,y,y,y,m,,Adam ,Medros ,"VP, Global Product",TripAdvisor,"VP, Global Product, TripAdvisor",,,speaker,y,"Adam Medros heads worldwide product development for TripAdvisor. Since joining TripAdvisor in 2004, Adam has overseen the improvements to core functionality, international expansion, and development of a wide variety of travel planning features, including TripAdvisor Mobile and the launch of successful TripAdvisor Facebook applications. Adam also led the launch of the “TripAdvisor Trip Friends” social feature and Facebook Instant Personalization on TripAdvisor.Prior to joining TripAdvisor, Adam held Senior Analyst and Product Manager positions at Nordstrom.com, Amazon.com, and The Parthenon Group. He serves on the board of oneforty.com, MITX, and is an advisor to care.com. Adam holds an MBA from Harvard Business School and a bachelor’s degree from Dartmouth College. ",y,"Since joining TripAdvisor in 2004, Adam has overseen the improvements to core functionality, international expansion, and development of a wide variety of travel planning features, including TripAdvisor Mobile and the launch of successful TripAdvisor Facebook applications. He'll tackle how to ""let mobile be mobile.""",,https://www.facebook.com/TripAdvisor,@TripAdvisor,
y,y,y,y,m,,Rich,Miner,Partner,Google Ventures,"Partner, Google Ventures",,,speaker,y,"Rich is based in Cambridge, MA. He has over 25 years of experience growing businesses with innovative communications and interface-intensive applications. Rich came to Google through the acquisition of Android, a mobile platforms company that he co-founded. During his early years at Google, he helped lead the development of the Android platform and ecosystem. Prior to Android, Rich was a Vice President at Orange, where he led R&D activities in North America and was an original principal at Orange Ventures when it was founded. Rich came to Orange through the acquisition of another company he co-founded, Wildfire, which developed a voice-based personal assistant. Rich received his PhD in Computer Science from the University of Massachusetts at Lowell.",,,,,,
,,,,,,Khosrow,Modarressi,Technology Transfer Officer,University of Waterloo,,,,,,"Khosrow received his Engineering degree in Electrical Engineering and gained six years of progressive experience in a variety of electrical engineering and project management roles in railway companies where he first worked as a signaling systems designer and telecommunication engineer and then moved to management roles and managed projects related to control and telecommunication systems. Khosrow received his Master of Engineering degree from McMaster University in Engineering Entrepreneurship and Innovation where he worked on design and commercialization of a medical device. Khosrow has been serving University of Waterloo as technology transfer officer since 2007. He is an active member of ACCT Canada, AUTM, LES and C4 Commercialization Network comprising six South-West Ontario universities with the mandate of facilitating technology commercialization.",,,,,,
y,y,y,y,m,,Dave,Morin,Co-Founder and CEO,Path,"Co-Founder and CEO, Path",,,speaker,y,"Dave Morin is the Co-Founder and CEO of Path, the smart journal that helps you share life with the ones you love. Prior to founding Path, Dave was an original member of the Facebook team, where he played a variety of product, marketing, strategy, and management roles helping to expand Facebook’s ecosystem to grow to now more than 901 million people worldwide. During his time there, Dave co-invented Facebook Platform and Facebook Connect, which now connect Facebook to over nine million apps and websites. Prior to Facebook, Dave held positions at Apple in product and marketing and, in his college dorm room, he founded DM Design Studios. Today, he lives and works in beautiful San Francisco.",y,"Dave Morin is the co-Founder and CEO of Path. Prior to founding Path, Dave was an original member of the Facebook team, where he played a variety of product,
marketing, strategy, and management roles. He’ll talk about building a private social network. ",,https://www.facebook.com/dvmrn,@davemorin,http://www.linkedin.com/in/davemorin
y,y,y,y,m,,David,Morken ,Co-Founder and CEO,Bandwidth.com,"Co-Founder and CEO, Bandwidth.com",,,speaker,y,"David Morken is the CEO of Bandwidth, one of the nation's largest and fastest-growing communication technology companies. Founded in 1999, and a certified CLEC in 49 states, Bandwidth is headquartered in Cary, NC. The company operates four divisions – inetwork, Phonebooth, Broadband and republic wireless.  David has led each division through tremendous growth since their inception including, most recently, the launch of republic wireless.  As the nation's first Wi-Fi centric mobile operator, republic wireless leverages the disruptive power of the WiFi to provide members with unlimited voice, text and data service for only $19 per month with no contracts -- giving control, freedom and choice back to wireless customers across the country.",y,"Founded in 1999, Bandwidth is one of the nation's largest and fastest-growing communication technology companies. CEO David Morken talks about the reinvention of mobile virtual network operators (MVNOs) with Elliot Noss, CEO of Tucows  and Stephen Stokols, CEO of FreedomPop                                                                        ",,,"@dmorken
",http://www.linkedin.com/in/dmorken
,,,,,,Francois,Nadal,Founder and CEO,myERP.com,,,,,,"Francois is a serial-entrepreneur, and the CEO and founder of myERP.com, the #1 cloud ERP for small businesses. The startup launched its online service in March 2010 along the Google Apps Marketplace. This all-in-one business suite allows small companies to run their business in the cloud with CRM, Accounting, purchasing, sales, banking, etc... Prior to myERP.com, Francois started a software company to build business plans before selling it to a large software group.",,,,,,
,,,,,,Truong,Nguyen,Professor,UCSD,,,,,,"Prof. Nguyen is currently a Professor at the ECE Dept., UCSD.   His research interests are in the area of image and video processing and communications.  Some of the current research projects include:  3D video processing and communications with applications in 3D surgical system,digital signage and interactive platform.",,,,,,
,,,,,,Yair,Noam,Post Doctoral Fellow,Stanford University,,,,,,"Yair Noam received his PHD in 2011 from Tel Aviv university, Israel and his B.Sc. (cum laude), and M.Sc. (summa cum laude) in 2003 and 2006, respectively, from the Ben-Gurion University, Israel; all in Electrical Engineering. He is currently a Postdoctoral Fellow at Stanford University, Stanford, CA. His research interests include interference mitigation in wireless communication and fundamental problem in estimation theory.",,,,,,
y,y,y,y,m,,Elliot,Noss,CEO,Tucows,"CEO, Tucows",,,speaker,y,"Elliot is CEO of Tucows. Tucows disrupted the domain name industry thirteen years ago and is now attempting to do the same to the mobile industry. Tucows' Sprint MVNO, Ting, offers simple usage-based, no contract pricing and a radical devotion to customer support. For nearly twenty years, Elliot has loved and championed the Internet as the greatest agent of positive change the world has ever seen. Through his role at Tucows, his involvement in ICANN and his personal efforts, he has lobbied, agitated and educated to promote this vision and protect an Open Internet around the world. Elliot has been sitting in the same chair at Tucows for over fifteen years and finds every year more exciting than the previous!",,,,http://www.facebook.com/noss1,@enoss,http://www.linkedin.com/pub/elliot-noss/0/2/39a
y,y,y,y,m,,Ouriel,Ohayon,Co-Founder,Appsfire,"Co-Founder, Appsfire",,,speaker,y,"9, French/Israeli. Entrpreneur. Co-founder of Appsfire.com (mobile app discovery) and Isai.fr(early stage fund). Formerly general manager of  LightSpeed Gemini Internet Lab, an israeli VC investing in early stage Internet startups. Ouriel is an investor in Wikio and Ginger Software and founded the  french version of TechCrunch. He co-founded ISAI, a seed stage fund based in France. Ouriel graduated from HEC School of Management.",,,,http://www.facebook.com/ouriel,@OurielOhayon,http://www.linkedin.com/in/ourielohayon
y,y,y,y,m,,Davi,Ottenheimer,"President, flyingpenguin and Analyst",GigaOM Pro,"President, flyingpenguin and Analyst, GigaOM Pro",,,speaker,y,"Davi Ottenheimer has more than seventeen years' experience managing global security operations and assessments, including a decade leading incident response and digital forensics. He is an expert in compliance, a qualified PCI DSS and PA-DSS assessor with K3DES, and former Board Member for the Payment Card Industry Security Alliance and Silicon Valley chapters of ISACA and OWASP. He formerly was responsible for security at Barclays Global Investors (BGI), the world's largest investment fund manager (now BlackRock). Prior to BGI he was a ""dedicated paranoid"" at Yahoo! and responsible for managing security for hundreds of millions of mobile, broadband and digital home products. Davi received his postgraduate academic Master of Science degree in International History from the London School of Economics.",,,,@daviottenheimer,,http://www.linkedin.com/in/daviottenheimer
y,y,y,y,m,,Marc,Parrish,"VP, Loyalty and Retention Marketing",Barnes & Noble,"VP, Loyalty and Retention Marketing, Barnes & Noble",,,speaker,y,"Marc Parrish is Vice President, Retention & Loyalty Marketing, Barnes & Noble.com. In this role, Mr. Parrish oversees all aspects of our Membership program, manages our various marketing initiatives and executes programs to retain and grow our customers’ loyalty to the Barnes & Noble brands. Mr. Parrish is a 20-year veteran of eCommerce and has been on the cutting edge of eMarketing since its inception, building large, direct marketing-driven eCommerce sites and online communities, as well as executing multi-channel retailing strategies.  Before joining Barnes & Noble, he held senior marketing and management roles at Jigsaw, Capcom Entertainment, Palm Inc., and Egghead.com. Mr. Parrish has an MBA from UCLA and a degree in Engineering from the University of Michigan, Ann Arbor.",,,,,,
,,,,,,Paul,Patterson,Co-Founder and SVP of Corporate Development,Eyeona,,,,,,"Paul Patterson is the SVP of Corporate Development and a founder of Eyeona. Paul leads Eyeona’s business development efforts and product strategy, driving Eyeona’s roadmap and ensuring that partnerships and product innovations meet the company’s core values to both retailers and consumers. Previously Paul was VP of Sales at Quantivo, a consumer analytics company focused on helping B2C companies identify revenue opportunities within their consumer base.",,,,,,
y,y,y,y,m,,Keith ,Rabois,COO,Square,"COO, Square",,,speaker,y,"Keith Rabois is Chief Operating Officer at Square, the company re-inventing commerce. Keith specializes in transforming early-stage startups into successful businesses and has deep expertise in the financial services industry and government affairs. An accomplished executive, entrepreneur and angel investor, Keith has held leadership roles at PayPal, LinkedIn, Slide and began his career practicing law at Sullivan & Cromwell. Keith was an early investor in several high-profile Internet companies and currently serves on the board of directors of Yelp (NYSE: Yelp) and Xoom. Keith holds a JD from Harvard Law School and an undergraduate degree in political science from Stanford University.",,,,,@rabois,http://www.linkedin.com/in/keith
y,y,y,y,m,,Shiva,Rajaraman,Director of Product Management,YouTube,"Director of Product Management, YouTube",,,speaker,y,"Shiva Rajaraman leads the product team at YouTube focused on creators, curators, and the devices. Prior to joining YouTube in 2007, he held roles in gaming, analytics, and a random stint in protein modeling. He grew up in Texas and is most excited about having his work touch and empower those outside of Silicon Valley.",,,,,,
y,y,y,y,m,,Jody,Ranck,Analyst,GigaOM Pro,"Analyst, GigaOM Pro",,,speaker,y,"Jody Ranck has a career in health and innovation spanning over 20 years in his work with corporations, foundations, non-profits, the United Nations and governments. He has consulted in the area of health and technology with a wide range of organizations including the mHealth Alliance, the Pan American Health Organization, Rockefeller Foundation and others. Previously he co-directed the health practice at the Institute for the Future and taught at UC Berkeley. He has a doctorate in Health Policy and Administration from UC Berkeley as well as an MA in International Relations and Economics (Johns Hopkins University, SAIS), and a BA in biology from Ithaca College. He has been a Fulbright Scholar at Grameen Bank, Bangladesh (1992).",,,,,@jranck,http://www.linkedin.com/in/jodyranck
y,y,y,y,m,,Spencer,Rascoff ,CEO,Zillow ,"CEO, Zillow ",,,speaker,y,"Spencer Rascoff is the CEO of Zillow Inc. Spencer joined Zillow as a founding employee in 2005 and was promoted to CEO in September 2010, leading the company through its IPO in July 2011. In 1999, Spencer co-founded Hotwire.com, which sold to Expedia in 2003, and became VP of Lodging for Expedia. Prior to this, Spencer was a private equity investor at TPG Capital, and an investment banker at Goldman Sachs, Bear Stearns, and Allen & Company. Spencer graduated from Harvard University, and is a member of Harvard's Digital Community & Social Networking Advisory Group and the Policy Advisory Board at the Harvard Joint Center for Housing Studies. He also serves on the Boards of Directors of Switchfly and Room77.",,,,,@spencerrascoff,
y,y,y,y,m,,Neville ,Ray,CTO,T-Mobile USA,"CTO, T-Mobile USA",,,speaker,y,"Appointed Chief Technology Officer in November 2010, Neville Ray is responsible for the national management and development of the T-Mobile USA wireless network, as well as the company’s IT services and operations. Originally from the United Kingdom, his career in the U.S. began in 1995 at Pacific Bell Mobile Services in California. He joined T-Mobile in 2000 as Vice President of Network Engineering and Operations, Northeast Region. Ray is an honors graduate of City University of London and a member of the Institution of Electrical and Electronic Engineers and the Institution of Civil Engineers. Ray is chairperson of 4G Americas, which promotes and facilitates the seamless deployment of 3GPP technologies, including HSPA, HSPA+ and LTE. 
",y,"Neville Ray is responsible for the national management and development of the T-Mobile USA wireless network, as well as the company’s IT services and operations. Ray is chairperson of 4G Americas and will be speaking about networks built for data. ",,,,
y,y,y,y,m,,Janko,Roettgers,Staff Writer,GigaOM,"Staff Writer, GigaOM",,,speaker,y,"Janko has been covering all things tech for more than 10 years. His career as a technology journalist began in Germany, where he published a number of books about subjects like the online music revolution and Internet subcultures. He first began contributing to GigaOM in 2007 and joined the staff in 2009. Janko is also the host of GigaOM’s Cord Cutters series.",,,,,,
,,,,,,Sébastien,Roy,Professor,University of Sherbrooke,,,,,,"Sébastien Roy received the B.Sc. and M.Sc. degrees in electrical engineering from Laval University, Quebec City, in 1991 and 1993, respectively, and the Ph.D. degree from Carleton University, Ottawa, ON, Canada, in 2000. In June 2012, he took up appointment as Full Professor with the Department of Electrical and Computer Engineering, University of Sherbrooke, where he is pursuing research in the system-level aspects of wireless communications. He has been active in industrial consulting, and was involved in the organization of several international conferences. He recently chaired the IEEE Vehicular Technology Conference held in Quebec City. Over the years, Dr. Roy has received numerous teaching and research awards. To date, he has published over 120 papers and he holds 3 patents.",,,,,,
,,,,,,Julien,Salanon,Co-Founder,InTooch,,,,,,"Julien brings over 12 years of experience in the Internet and Telecommunications industry. His extensive background includes working in a variety of functional areas which makes him well suited to leading the InTooch team. Julien brings an extensive knowledge of the mobile internet market, as well as a hands-on experience in developing and deploying mobile services.Before founding InTooch, Julien led the western Europe business of OnePIN, a Boston-based social address book solution provider. Prior to OnePIN, Julien managed AOL Europe's strategic alliances, focusing on mobile initiatives. Before AOL, he was in charge of developing Vivendi-Universal Net's SMS applications and gateway business. He also served as Qool.com's director of marketing in San Francisco.""",,,,,,
y,y,y,y,m,,Vlad,Sejnoha,CTO,Nuance,"CTO, Nuance",,,speaker,y,"As Nuance's Chief Technology Officer, Vlad Sejnoha oversees Nuance's research and focuses on core technology and product strategy, with an emphasis on emerging areas including natural language processing and mobile applications. Prior to joining Nuance, Vlad was the Chief Scientist at L&H, and earlier at Kurzweil AI, where he was responsible for creating technology for a number of commercially successful speech recognition products, including large vocabulary continuous speech dictation systems. Vlad has over 20 years experience in the field of speech recognition and holds thirteen US patents.",,,,,,
y,y,y,y,m,,Chetan,Sharma,"President, Chetan Sharma Consulting and Analyst",GigaOM Pro,"President, Chetan Sharma Consulting and Analyst, GigaOM Pro",,,speaker,y,"Chetan Sharma is President of Chetan Sharma Consulting and is one of the leading strategists in the mobile industry. Executives from wireless companies around the world seek his accurate predictions, independent insights, and actionable recommendations. He has served as an advisor to senior executive management of several Fortune 100 companies in the wireless space and is probably the only industry strategist who has advised each of the top 6 global mobile data operators. Some of his clients include NTT DoCoMo, Disney, KTF, China Mobile, Toyota, Comcast, Motorola, FedEx, Sony, Samsung, Alcatel Lucent, KDDI, Virgin Mobile, Sprint Nextel, Skype, AT&T Wireless, Reuters, Juniper, Qualcomm, Nissan, Amdocs, Comverse, Reliance Infocomm, SAP, Merrill Lynch, Microsoft, American Express, and Hewlett-Packard. ",,,,http://www.facebook.com/chetansharma,@chetansharma,http://www.linkedin.com/in/chetansharma
y,y,y,y,m,,Stephen,Stokols,CEO,FreedomPop,"CEO, FreedomPop",,,speaker,y,"Stephen currently serves as CEO of FreedomPop, the highly publicized disruptive mobile broadband start-up. Prior to FreedomPop, Stephen was Woo Media's CEO where he grew the company to 10 million users, 50 employees and a multi-million dollar revenue stream. Woo Media raised $19 million and was successfully sold in November 2011. Stephen also served as British Telecom’s VP of Strategy and Product Development through 2007. At BT, he generated over $500 million in new-wave revenue putting BT in the forefront of online communications and digital media. Stephen also worked in venture capital and was Director of eCommerce for Qwest Communications. He holds two graduate degrees, a MBA from UC Berkeley and a Masters in Finance from London Business School.",,,,,@stokols,http://www.linkedin.com/in/stokols
y,y,y,y,f,,Halle,Tecco,Founder and CEO,Rock Health,"Founder and CEO, Rock Health",,,speaker,y,"Halle Tecco is the Co-Founder & CEO of RockHealth, the first startup accelerator devoted exclusively to health companies. Tecco recognized the need and potential for startups in the digital health space while working at Apple's App Store covering the health and medical vertical. Tecco has been named as one of “12 Entrepreneurs Reinventing Healthcare” by CNN, one of “15 Women to Watch in Tech” by Inc. Magazine, and was a L’Oreal “Woman of Worth” Honoree. Tecco has written for Harvard Business School Publishing, Stanford Social Innovation Review, Glamour.com and ForbesWoman. She has a Bachelor of Science degree from Case Western Reserve University and a Master of Business Administration from Harvard Business School. ",,"Halle Tecco recognized the need and potential for startups in the digital health space while working at Apple's App Store covering the health and medical vertical. Tecco was named one of CNN's “12 Entrepreneurs Reinventing Healthcare,” one of Inc. Magazine's “15 Women to Watch in Tech,” and was a L’Oreal “Woman of Worth” Honoree. ",,http://www.facebook.com/halle,@halletecco,
y,y,y,y,m,,Gibu,Thomas ,"SVP, Mobile and Digital",Walmart ,"SVP, Mobile and Digital, Walmart ",,,speaker,y,"Gibu Thomas is the Senior Vice President of Mobile and Digital at Walmart responsible for mobile commerce and digital media initiatives for the company across various markets and banners. Prior to this role, he headed up strategy for Walmart’s Global eCommerce group. Gibu has 20 years of experience with over 10 years in the mobile industry. Prior to Walmart, he was a serial entrepreneur who founded and led multiple technology companies with successful exits. Gibu has an undergraduate degree in Computer Science and started his career as a computer programmer in the early 90’s. He also has an MBA from Stanford University.",,,,,,http://www.linkedin.com/in/kerton
y,y,y,y,m,,Kevin,Tofel,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Kevin Tofel has 15 years of hands-on I.T. experience at Fortune 100 companies and 5 years of writing, blogging and podcasting behind him. In 2005, he built a team of bloggers for AOL to cover the growing HDTV space. The small startup site eventually became the popular destination of EngadgetHD. Returning to his passion of mobile technology, Kevin joined jkOnTheRun in 2006, where he has blogged extensively about netbooks, notebooks, smartphones, cloud services and Ultra Mobile PCs. Outside of the web world, Kevin’s print writing has appeared in The New York Times, Smartphone & Pocket PC Magazine, PC Magazine and PC World.",,,,,,
y,y,y,y,m,,Bryan,Trussel,Co-Founder and CEO,Glympse,"Co-Founder and CEO, Glympse",,,speaker,y,"Bryan Trussel is co-founder and CEO of Glympse, a company focused on making location sharing commonplace. His main focus is to make Glympse part of our daily lives and make sure the product's ease and simplicity coincides with its commitment to safety and security. Bryan spent 16 years leading teams at Microsoft, working on a range of products from Windows to Interactive TV and embedded systems to casual games, including creating and launching several V1.O products, like MessengerGames, Windows CE and Xbox Live Arcade. He has a bachelor's in Computer Science from the University of Utah and an MBA from Kellogg at Northwestern. He currently resides in Redmond, Wash. with his wife and five children.",,,,,@bryantr,http://www.linkedin.com/in/bryantrussel
y,y,y,y,m,,Jim,Turley,"Founder, Silicon Insider and Analyst",GigaOM Pro,"Founder, Silicon Insider and Analyst, GigaOM Pro",,,,y,"Jim Turley is an acknowledged authority on microprocessor chips, semiconductor intellectual property, and embedded systems. He is the author of seven books including Essential Guide to Semiconductors, the Editor of Electronic Engineering Journal, and former Editor-in-Chief of Microprocessor Report. Before founding Silicon Insider he was previously CEO of a publicly traded microprocessor firm and Senior VP at another microprocessor company. Jim is a regular speaker at industry gatherings, is frequently quoted in the press, and is a sought-after thought leader consulting with investment firms, semiconductor companies, and legal professionals around the world. He’s also a licensed race car driver with a talented, accomplished and stunningly attractive wife, two overachieving children, and an apparently brain-damaged dog.",,,,,,
,,,,,,Anuj ,Verma,Co-Founder and CEO,Thirst,,,,,,"Anuj Verma is a graduate from UC Berkeley and has a passion for design. He believes, being able to understand the language in status updates is an important technology that can be implemented in many ways. At Thirst he is enjoying building an application that is intuitive to the consumer and at the same time technologically challenging.",,,,,,
,,,,,,Tam,Vu,PhD Candidate,"WINLAB, Rutgers University",,,,,,"Tam Vu is entering the 5th year of his Ph.D. program in the Department of Computer Science, Rutgers University. He is a research assistant in Wireless Information Network Lab (WINLAB). His research interests include location privacy, mobile system security, wireless device localization and mobile-centric internet architecture. He is the recipient of the best paper awards at Annual International Conference on Mobile Computing and Networking (MobiCom) for 2 consecutive years - 2011 and 2012.
",,,,,,
y,y,y,y,m,,Jake,Ward,"SVP, Application Developers Alliance and Analyst",GigaOM Pro,"SVP, Application Developers Alliance and Analyst, GigaOM Pro",,,speaker,y,"Jake Ward oversees communications for the Application Developers Alliance, including media, marketing, member relations, and corporate partnerships. Ward joined The Alliance after serving as a vice president of public affairs at the Washington-based PR firm the David All Group. He also served as executive director of AMP Summit, an annual forum for influencers in the activist, media, and policy spheres. Before that, Ward was a vice president at the PR firm Brodeur Partners and a director at Qorvis Communications, both in the D.C. area. Ward came to public relations after holding communications positions for two members of Congress, Sen. Olympia Snowe (R-ME) and Dan Lungren (R-CA).",,,,http://www.facebook.com/appsalliance,@AppsAlliance,http://www.linkedin.com/pub/jake-ward/4/655/3a3
y,y,y,y,m,,Aaron ,Watkins,"President, Appency and Analyst",GigaOM Pro,"President, Appency and Analyst, GigaOM Pro",,,speaker,y,"Aaron is the Co-Founder and President of Appency, one of the first PR and Marketing agencies dedicated exclusively to app promotion. He is a long time executive of the mobile marketing industry, having spent six years with ipsh! Mobile Marketing building a number of award winning mobile campaigns for major brands including Anheuser-Busch, Frito-Lay and Unilever. After ipsh, Aaron was recruited to start the San Francisco office of global mobile agency The Hyperfactory. In 2009, Aaron started consulting in the app marketing space, and eventually wrote the GigaOM guide to app marketing. He has helped dozens of companies understand and succeed in the app space and enjoys the challenges of an ever changing app economy.",,,,http://www.facebook.com/appnecy,@AppGuyAaron,http://www.linkedin.com/in/atwatkins
y,y,y,y,m,,Josh,Williams,President and Chief Science Officer,Kontagent,"President and Chief Science Officer, Kontagent",,,speaker,y,"Josh is responsible for strategic revenue projects, data science and R&D.  He is responsible for driving Kontagent's world class proprietary data processing, analysis platform and algorithms into new verticals and markets.  A serial entrepreneur, Josh has led two successful start-ups to two large exits - the first as CTO at an early big data firm in automated real-time financial securities analysis which was acquired in 2003, and the second as CEO and CTO at a leading game technology company which was acquired in early 2007.  Josh is an investor and loves helping other entrepreneurs however he can.  In his personal time, he... well, mostly just works more, much to his lovely wife's bemusement and occasional chagrin.",,,,,,
y,y,y,y,m,,Rob,Williams,Co-Founder and CEO,Sidecar,"Co-Founder and CEO, Sidecar",,,speaker,y,"Rob Williams is the CEO and co-founder of Sidecar, a new rich communication service for mobile devices. Before founding Sidecar in 2010, Williams was the senior vice president of music products (Rhapsody) at RealNetworks from 2005-2008.In 2000, he co-founded Avogadro, Inc., Ignition Venture Partner’s first investment and a pioneer in mobile instant messaging. In 2001, Openwave acquired Avogadro, Inc. and Williams joined Openwave as Senior Vice President and General Manager of the mobile browser and client division . Prior to founding Avogadro, Williams was at Microsoft for 8 years working on networking and multimedia for Windows 3.1 and Windows 95Williams is a graduate of the University of Waterloo, with a BaSC in Electrical Engineering.",,,,,,
y,y,y,y,m,,Michael,Wolf,VP Research,GigaOM Books,"VP Research, GigaOM Books",,,speaker,y,"Michael was the founding Vice President of Research at GigaOM, where he helped create and launch GigaOM Pro. He writes about consumer technology, oversees the editorial roadmap for all research verticals, leads analyst recruitment, and leads GigaOM’s digital publishing initiatives. Before joining GigaOM, Michael was responsible for all consumer and content research at ABI Research. He also created In-Stat’s consumer media and connectivity research practices. Michael is frequently quoted in such outlets as CNBC and Bloomberg on technology market trends, and is a former columnist for Network World and the author of a book on consumer technology.",,,,,,
,,,,,,Kshitij,Yadav,Student,Columbia University,,,,,,"Kshitij Yadav is a graduating PhD. student in Electrical Engineering from Columbia University in the City of New York. He currently running his funded start-up, Udacomm Inc. to commercialize through-air ultrasound data, a technology he developed during his PhD research. He is interested in the design of IC-assisted electromechanical systems. He obtained his Bachelors and Masters from Indian Institute of Technology (IIT), Kharagpur in 2007 and has been a visiting scholar at University of California, Santa Cruz, CA and Texas A&M University, College Station, TX. He has also held IC design positions at Alcatel-Lucent Bell labs, Murray Hill, NJ and Linear Technology, North Chelmsford, MA. ",,,,,,
