IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Twitter,P Facebook,P LinkedIn,,,,,,Clare'sNotes
y,y,y,y,m,Derrick,Harris,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Derrick has been a technology journalist since 2003 and has been covering cloud computing, big data and other emerging IT trends for GigaOM since 2009. He has written the words “cloud” and “Hadoop” possibly more than any other person on the planet. Derrick lives in Las Vegas and has a law degree from the University of Nevada, Las Vegas. Away from the office, Derrick trains in muay thai and is active in animal welfare issues.",,,,@derrickharris,,,,,,,,n
y,y,y,y,m,Jonathan,Heiliger,General Partner,North Bridge Venture Partners,"General Partner, North Bridge Venture Partners",,,speaker,y,"Jonathan Heiliger is a partner at North Bridge Venture Partners and brings his passion for creating and scaling solution-focused technology companies as a collaborative advisor, investor or executive. Prior to North Bridge, Heiliger was VP of Technical Operations at Facebook, helping the company grow from 35 million to over 800 million users. Previously, Jonathan held executive technical roles at Walmart, Danger (acquired by Microsoft) and Loudcloud (which became Opsware, later acquired by HP). Earlier in his career, Jonathan co-founded and was CTO of Frontier GlobalCenter and also founded Global Crossing’s venture capital group. Jonathan currently serves on the board of directors of DuPont Fabros, Jive Software, OneID, USA Cycling and Webmonsters and has invested in Cloudera, Designer Fund, Periscope, Quora, Ravel Law, Square, Tastemaker.",y,,,@heiligerj,https://www.facebook.com/jh,http://www.linkedin.com/in/jheiliger,,,,,,y
y,y,y,y,m,Jason,Hoffman,Founder,Joyent,"Founder, Joyent",,,speaker,y,"Jason Hoffman is the CTO of Joyent, where he is responsible for company vision and product execution. He is also responsible for research and advanced development, technical outreach, evangelism, consultative efforts for partners and business units, and manages Joyent’s intellectual property portfolio. Jason earned a BS and MS from UCLA and a PhD from UCSD. Jason taught at the university level for more than a decade, is a prolific speaker and author and a highly-regarded expert on scalable systems.",y,,,@jasonh,,http://www.linkedin.com/in/jasonhoffman,,,,,,y
y,y,y,y,m,Mathew,Ingram,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Mathew covers media in all its forms — social and otherwise — as well as web culture and related issues. He is an award-winning journalist who has spent the past 15 years writing about business, technology and new media as a reporter, columnist and blogger. Prior to joining GigaOM, he was a blogger and technology writer for the Globe and Mail newspaper in Toronto, and was also the paper’s first online Communities Editor. Mathew is one of the founders of mesh, Canada’s leading web conference.",,,,@mathewi,,,,,,,,n
y,y,y,y,m,Ben,Kepes,"Analyst, Diversity Limited and Analyst",GigaOM Research,"Analyst, Diversity Limited and Analyst, GigaOM Research",,,Speaker,y,"Ben Kepes is a technology evangelist, an invester, a commentator and a business adviser. His business interests include a diverse range of industries from manufacturing to property to technology. As a technology commentator he has a broad presence both in the traditional media and extensively online. Ben covers the convergence of technology, mobile, ubiquity and agility, all enabled by the Cloud. His areas of interest extend to enterprise software, software integration, financial/accounting software, platforms and infrastructure as well as articulating technology simply for everyday users.",,,,@benkepes,,nz.linkedin.com/in/benkepes/,,,,,,y
y,y,y,y,m,Craig,Labovitz,Co-Founder,DeepField,"Co-Founder, DeepField",,,speaker,y,"Dr. Craig Labovitz is co-Founder and CEO of DeepField, a big data telecom and cloud management startup. Dr. Labovitz is an expert on Internet infrastructure and cloud evolution with technology deployed in more than 600 Internet Service Providers, cable operators, content providers, and mission-critical networks around the globe. Labovitz is the author of more than a dozen peer-reviewed networking research papers, journal articles and patents. He is a frequent guest on national television and radio news programs and his research is widely cited in national media articles and academic publications. Dr. Labovitz received his PhD and MSE from the University of Michigan.",,,,@labovit,https://www.facebook.com/deepfield,http://www.linkedin.com/company/deepfield,,,,,,y
y,y,y,y,f,Maryline,Lengert,Senior Advisor,European Space Agency,"Senior Advisor, European Space Agency",,,speaker,y,"Maryline Lengert, Senior Advisor in the IT department of ESA, started this Cloud Computing Strategic Plan initiative end of 2009 to catalyse the creation of a European owned public cloud, serving initially the Science Research Area. Maryline has 20+ years of experience in the IT domain within an international environment. Her previous positions include Technical Manager and Operations Director for Hospital Integrated Information System in S.A.I.C. France, Quality Manager and Head of the Account Management and Requirement Analysis Division in the ESA IT Department. Maryline holds a PhD in Physics and a Master in International and European Studies.",y,,,,,,,,,,,y
y,y,y,y,m,Bernino,Lind,COO,CloudSigma ,"COO, CloudSigma ",,,speaker,y,Bernino Lind is the COO of CloudSigma. Previously a founder and CEO of several companies including Aresa which went IPO in 2006 (EUR20 million). Lean and Agile Scrum practitioner. World Economic Forum tech-pioneer. Bernino take a pivotal role in executing on CloudSigma's global geographic expansion as well as maintaining operational excellence and efficiency within CloudSigma.,y,,,,,http://www.linkedin.com/in/bernino,,,,,,y
y,y,y,y,m,Tony,Lucas,Founder and SVP Product,Flexiant,"Founder and SVP Product, Flexiant",,,speaker,y,"Lucas spent 12 years as CEO and majority owner of XCalibre Communications, a web hosting company. During the latter half of this period, he developed the FlexiScale cloud computing technology, which now forms the core component of Flexiant’s Cloud Orchestrator platform. Lucas is a frequent speaker at cloud computing conferences and a recognized expert in his field.",,,,@tonylucas,,http://www.linkedin.com/pub/tony-lucas/2/411/621,,,,,,y
y,y,y,y,f,Jo,Maitland,Research Director,GigaOM Research,"Research Director, GigaOM Research",,,Speaker,y,"Jo Maitland is Research Director for the Infrastructure/Cloud channel at GigaOM Pro. Jo has been a technology journalist and analyst for 15+ years specializing in enterprise IT trends, specifically infrastructure virtualization, storage and cloud computing. At Forrester Research and The 451 Group, Jo covered cloud-based storage and archiving and the challenges of long term digital preservation. At TechTarget Jo was Executive Editor of several websites covering virtualization and cloud computing. She managed a team of reporters and editors and wrote news, features and columns for those sites which became leading information resources under her guidance. Jo has spoken at several major industry events including NetWorld + Interop and VMworld on virtualization and cloud computing trends. She has a BA (Hons) in Journalism from the University of Creative Arts in the UK. In her spare time Jo enjoys adventures in new places, extreme sports, writing screenplays and watching movies.",,,,@JoMaitlandSF,,,,,,,,n
y,y,y,y,m,Om,Malik,Founder and Senior Writer,GigaOM,"Founder and Senior Writer, GigaOM",,,speaker,y,"Om Malik has more than 15 years of experience as a journalist covering technology and business news. He was part of the founding team of Forbes.com as a Senior Editor. He then went on to become a senior writer at Red Herring during its glory days before joining Business 2.0 in March 2003, covering telecom, innovation and broadband stories. His contributions have been published in The Wall Street Journal, The Economist and MIT Technology Review. Additionally, Om is the author of “Broadbandits: Inside the $750 Billion Telecom Heist.” He is also the recipient of many industry awards, including Excellence in Journalism from the Society of Professional Journalists in 2001 and the Gold Award from American Society of Business Publication Editors in 2001.",,,,,,,,,,,,n
y,y,y,y,m,Niall,McEntegart,European Datacenter Operations Manager,Facebook,"European Datacenter Operations Manager, Facebook",,,speaker,y,"I joined Facebook in September 2012 to manage Facebook's datacenter operations in Europe and am based primarily in our International HQ in Dublin, Ireland. Before joining Facebook I was director of EMEA data center operations at Yahoo! for six years. It was my first role in the data center industry. Before that I worked in high-volume manufacturing, operations, and production environments at companies like Xerox and Gateway Computers where I gained valuable large-scale production experience. Facebook recently opened its first datacenter outside of the US in Luleå in northern Sweden. The Luleå site uses 100% hydroelectric, locally sourced power, is 100% outside air-cooled and is the first in Facebook's fleet to use 100% open source hardware from the Open Compute project (www.opencompute.org).",,,,@niallmcentegart,https://www.facebook.com/nmcentegart,http://www.linkedin.com/in/niallmcentegart,,,,,,
y,y,y,y,m,Hila,Meller,Head of Security Strategy EMEA,CA Technologies,"Head of Security Strategy EMEA, CA Technologies",3,,speaker,y,"Hila Meller leads the strategy efforts in EMEA for the Security business at CA Technologies. She is responsible for ensuring the company’s products, services, cloud offerings and partnerships help customers deliver online business in a secure manner, and also addressing future business needs. Hila joined CA Technologies on 2008, as part of the Eurekify acquisition, where she acted as the VP sales EMEA. Prior to that she worked for several years at Avnet Information Security in different executive roles among them- ERP Department Manager and VP of Products and Services. Hila brings unique international experience in the Security and Risk Management space. She has a bachelor degree in Mathematics and Computer Science, and a Master in Business Administration.",y,,,,,,,,,,,y
y,y,y,y,m,Simon,Menashy,Investment Manager,MMC Ventures,"Investment Manager, MMC Ventures",,,speaker,y,"Simon is a member of the investment team at MMC Ventures, a London-based venture capital firm, where he focuses on new deals. MMC is currently one of the most active VCs in the UK, investing in early stage businesses in sectors where the UK is a world leader, including e-commerce, digital media, fintech and business services and software. Simon's background is in European tech and media consulting, working with clients including the BBC, Virgin Media, BT, Thompson Reuters and Ofcom as part of the Deloitte Strategy team in London. He previously started an IT consulting business and holds a degree in Physics and Space Research.",,,,"http://twitter.com/simonmenashy     
",,http://uk.linkedin.com/in/simonmenashy/,,,,,,
y,y,y,y,m,David,Menninger,Head of Business Development and Strategy   , Pivotal an EMC Subsidiary   ,"Head of Business Development and Strategy, Pivotal an EMC Subsidiary",,,speaker,y,"David Menninger is the head of business development and strategy for Pivotal, a subsidiary of EMC. He is responsible for charting the big data course and future direction of the division as well as developing partnerships to maximize the value of big data to EMC's customers. Most recently, David served as VP and Research Director for Ventana Research covering big data, analytics, and information management. Prior to joining Ventana Research, he served as VP of Marketing and Product Management at Vertica Systems, Oracle, Applix, InforSense and IRI Software helping to create over three quarter billion dollars of shareholder value while in these roles.",y,,,@dmenningeremc,,www.linkedin.com/in/davidmenninger/,,,,,,y
y,y,y,y,m,David,Meyer,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"David Meyer covers European tech issues for GigaOM with a focus on cloud, mobile and data, as well as on emerging technologies such as Bitcoin and 3D printing. He has previously written for ZDNet, the BBC and the Guardian. David hails from Cape Town and currently lives in Berlin while retaining a certain fondness for London, where he also lived for a decade. When not writing about tech, he dreams of making electro-grunge a viable musical genre.",,,,@superglaze,,,,,,,,n
,y,,y,f,Julie,Meyer,Chairman and Chief Executive ,Ariadne Capital,"Chairman and Chief Executive, Ariadne Capital",,,speaker,y,,,,,,,,,,,,,
y,y,y,y,m,Paul,Miller,"Founder, Cloud of Data and Analyst",GigaOM Research,"Founder, Cloud of Data and Analyst, GigaOM Research",,,speaker,y,"Paul is an analyst and consultant, based in the Yorkshire market town of Beverley, but working with clients world-wide. He mainly helps them understand the opportunities (and pitfalls) around cloud computing, big data, and open data, but also podcasts and writes for technology sites such as GigaOM Pro. His background includes public policy and standards work, several years in management at a UK software company... and a Ph.D in Archaeology.",,,,"@paulmiller
",http://www.facebook.com/profile.php?id=610521030,http://www.linkedin.com/in/pau1mi11er,,,,,,y
y,y,y,y,m,James,Mitchell,Founder and CEO,Strategic Blue,"Founder and CEO, Strategic Blue",,,speaker,y,"A former commodities pricing expert at Morgan Stanley, Dr. James Mitchell founded Strategic Blue to bring price-risk management and billing services to the corporate cloud user. James’ vision for the future is one where cloud is purchased like a utility, with separate companies technically delivering the service, metering usage, and providing billing, as is the case for electricity. Strategic Blue enters the billing chain, buying from cloud providers on terms which suit the providers and selling to users on optimised terms. Beyond this simple intermediation, Strategic Blue offers its customers Cloud Options TM enabling them to fix a price now for their future usage on a deal tailored to their needs, without having to fit in with what suits the provider.",y,,,@strategicblue,,http://uk.linkedin.com/in/jamesmitchellstrategicblue,,,,,,y
y,y,y,y,m,Tim,Moreton,CTO,Acunu,"CEO, Acunu",,,speaker,y,"Tim is CTO and co-founder of Acunu, whose software provides real-time operational analytics for monitoring cloud infrastructures, social games, manufacturing processes and smart meter deployments. Tim holds a PhD in Computer Science from Cambridge University, where his research on the Xen project contributed to an early blueprint for cloud computing. Tim was previously a senior member of the technical team at Tideway (now BMC), where he led the creation of data center discovery and analytics tools for Fortune 500 clients. He was also CEO of a consultancy delivering data analytics solutions to the aviation sector. ",,,,@timmoreton,,http://linkedin.com/in/timmoreton,,,,,,y
y,y,y,y,m,Mario,Mueller,"VP, IT Infrastructure, BMW  and Chairman",ODCA,"VP, IT Infrastructure, BMW  and Chairman, ODCA",2,,speaker,y,"As vice president of the IT Infrastructure at the BMW Group, Mario Mueller manages the solution and operation team for the global IT Infrastructure. He has held a variety of executive and management positions at BMW and other companies. Mario holds a Masters degree (Dipl.-Kfm.) in Business Administration. BMW Group is the only automobile company in the world to cover all the relevant premium segments. The company is one of the world's ten largest automobile manufacturers. With BMW, MINI and Rolls-Royce, the BMW Group owns three of the strongest premium brands in the automobile industry today. The vehicles in the BMW Group provide outstanding product substance in terms of aesthetics, dynamics, technology and quality, and underline the company's technological and innovative leadership.",y,,,,,,,,,,,y
y,y,y,y,m,Matt,Mullenweg,"Co-Founder, WordPress and Founder",Automattic,"Co-Founder, WordPress and Founder, Automattic",1,,speaker,y,"Matt Mullenweg is the co-founder of the open-source blogging platform, WordPress, the most popular publishing platform on the web, and the founder of Automattic, the company behind WordPress.com and Jetpack. Additionally, Matt is the founder of Audrey Capital, an investment and research company. Matt got his start in technology at CNET Networks as a senior product manager. He went on to found Global Multimedia Protocols Group, an experimental metamemetics company, to develop open data formats. He has been recognized for his success by Forbes, BusinessWeek, INC., PC World, and Vanity Fair. Matt is originally from Houston, Texas, where he attended the High School for the Performing and Visual Arts and studied jazz saxophone. Matt splits time between Houston, New York, and San Francisco.",y,,,@photomatt,,,,,,,,y
y,y,y,y,m,David,Mytton,Founder and CEO,Server Density ,"Founder and CEO, Server Density",,,speaker,y,"David Mytton is the founder of Server Density, a SaaS tool which helps you provision and monitor your infrastructure. Based in the UK, David has been programming in Python and PHP for over 10 years, was one of the earliest production MongoDB users (founding the London MongoDB User Group), co-founded the Open Rights Group and can often be found cycling in London or drinking tea in Japan.",,,,@davidmytton,,http://uk.linkedin.com/in/davidmytton,,,,,,y
y,y,y,y,m,Nnamdi,Orakwue,"VP, Cloud",Dell," VP, Cloud, Dell",,,speaker,y,"Nnamdi Orakwue is the Vice President of Cloud for Dell. In this role, Nnamdi is responsible for leading the Cloud initiative for the company globally, bringing together solutions and services across Dell to solve customers’ business issues holistically. Prior to his current role, Nnamdi served as the executive assistant to Michael Dell, chairman and CEO of Dell, supporting a wide range of strategic, management and operational matters. Before joining Dell, he spent 10 years at IBM in a variety of business development, sales and finance roles including international assignments in Lagos, Nigeria and London. Nnamdi earned a master’s degree in business administration from The Wharton School of the University of Pennsylvania and a bachelor’s degree in Government from Harvard University.",y,,,,,,,,,,,y
y,y,y,y,m,Andy,Piper,Developer Advocate,Pivotal,"Developer Advocate, Pivotal",,,speaker,y,"Andy Piper is widely known as a Social Bridgebuilder and speaker, and works as Developer Advocate for Cloud Foundry, the Open Source Platform-as-a-Service. His passions span a wide variety of areas: cloud, devops, mobile devices, the Internet of Things, Arduino and similar technologies, social computing, and photography. He is project lead and developer on the Eclipse Paho lightweight messaging project. He works for Pivotal. Andy was previously with IBM Software Group for more than 10 years, as a consultant, strategist, and WebSphere Messaging Community Lead. He holds a Master of Arts (Oxf) in Modern History from Brasenose College, Oxford University.",,,,@andypiper,http://facebook.com/andypiper,http://www.linkedin.com/in/andypiperuk,,,,,,y
y,y,y,y,m,Barak,Regev,Head of EMEA Cloud Platform,Google Enterprise,"Head of EMEA Cloud Platform, Google Enterprise",,,speaker,y,"Barak Regev is responsible for business relations for Google’s suite of Cloud Platform products in Europe, the Middle East and Africa. Prior to becoming Cloud Platform Lead, Barak was Head of Google Enterprise for Israel, South Africa, Sub Sahara and Greece. Before joining Google, Barak headed Microsoft’s sales organization dedicated to government, healthcare and educational customers in Israel, managing the team focused on accelerating growth and developing relationships with all enterprise accounts within these verticals. Earlier in his career, he worked for Attunity Ltd where he was responsible for all direct sales of the company’s flagship product in Israel, Greece & Turkey and, before that, was employed as Manager of Sales & Marketing for a start-up called ECU.",y,,,,,http://www.linkedin.com/profile/view?id=75807548&authType=NAME_SEARCH&authToken=ugfG&locale=en_US&srchid=9cd36816-25cb-40f5-8809-cdb9d883d311-0&srchindex=1&srchtotal=3&goback=%2Efps_PBCK_*1_Barak_Regev_*1_*1_*1_*1_*2_*1_Y_*1_*1_*1_false_1_R_*1_*51_*1_*51_true_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2&pvs=ps&trk=pp_profile_name_link,,,,,,y
y,y,y,y,m,Markus,Rex,CEO,ownCloud,"CEO, ownCloud",,,speaker,y,"With nearly 20 years of open source experience behind him, Rex founded ownCloud, Inc., determined to bring secure file sync and share to business. Throughout his career he was heavily involved in all critical areas of the Linux market, first with SUSE then Novell, including engineering, product architecture, management and marketing, and executive leadership. Prior to ownCloud, he served as SVP and GM of Novell’s SUSE Linux Open Platform Solutions business unit. Previously he held the position of CTO for the Linux Foundation, where he led all technical initiatives. He has also served as Novell’s CTO for Linux and in various engineering management roles at SUSE. Rex is a graduate of the Harvard Business School General Management Program and attended Erlangen University.",y,,,@OwnCloud,https://www.facebook.com/owncloud?fref=ts,http://www.linkedin.com/profile/view?id=3920131&locale=en_US&trk=tyah,,,,,,y
y,y,y,y,m,Simon,Short,"CTO, Head of Digital",Capgemini,"CTO, Head of Digital, Capgemini",,,speaker,y,"Simon is Vice President and CTO for Capgemini’s UK business, and Head of the Digital Services Business Unit. As CTO he is accountable for architecture and all technology solutions for our Clients, and as Head of Digital Services he runs the business development, delivery and service run of all Web, eCommerce and SaaS services. Simon joined Capgemini in 2007 from Vodafone, where as Head of Technology Business Management he was accountable for the planning and management of the capital programme and delivery of all business projects. He holds a BEng in Electrical System Engineering from the Royal Naval Engineering College, a MSC from Cranfield University and a MBA from Henley Management College. He is a Fellow of the British Computer Society. ",,,,,,,,,,,,
y,y,y,y,m,Bruno,Silva,Research Computing Platforms Team Leader,University College London,"Research Computing Platforms Team Leader, University College London",,,speaker,y,"Dr Bruno Silva is currently leading the Research Computing Platforms team at University College London, designing the central Research Computing hardware and software infrastructure for the University, including High Performance Computing systems. He holds a PhD in Computational Physics from UCL and in 2009 joined the newly created Research Computing Services group, with the goal of helping researchers in all disciplines to explore the potential of Supercomputing for simulation and large data set processing. Bruno is a member of UCL’s IT strategy groups and is leading UCL’s Cloud strategy for Research. His position gives him a privileged view of the bleeding edge in research and technology as well as the impact that Cloud and Big Data technologies are starting to have in Research and Science.",y,,,,,http://www.linkedin.com/pub/bruno-silva/2/949/76,,,,,,y
y,y,y,y,m,Michael,Simon,Chairman and CEO,LogMeIn,"Chairman and CEO, LogMeIn",,,speaker,y,"Michael Simon has served as LogMeIn's Chairman and CEO since its founding, and has grown the company from a single access product line used by thousands of users to a leading provider of essential cloud services used daily by millions people across the globe. LogMeIn went public in 2009 – the first of two VC-backed IPOs in Massachusetts and one of eight nationally during the year. In addition to leading LogMeIn’s day-to-day operations and long-term product and market strategy, Simon serves on the board of HubSpot, as well as the Graduate Studies Advisory Council at Notre Dame.",,,,,,www.linkedin.com/pub/michael-simon/61/496/613,,,,,,y
y,y,y,y,m,Raymie,Stata,CEO,Altiscale,"CEO, Altiscale",,,speaker,y,"Raymie comes to Altiscale from Yahoo!, where he was Chief Technical Officer. At Yahoo, he played an instrumental role in algorithmic search, display advertising, and cloud computing. He also helped set Yahoo's Open Source strategy and initiated its participation in the Apache Hadoop project. Prior to joining Yahoo!, Raymie founded Stata Laboratories, maker of the Bloomba search-based e-mail client, which Yahoo! acquired in 2004. He has also worked for Digital Equipment's Systems Research Center, where he contributed to the AltaVista search engine. Raymie received his PhD in Computer Science from MIT in 1996.",,,,@rstata,,http://www.linkedin.com/in/rstata,,,,,,y
y,y,y,y,m,James,Stewart  ,Head of Technology,"Government Digital Service, Cabinet Office","Head of Technology, Government Digital Service, Cabinet Office",,,speaker,y,"James Stewart is Head of Technology at the Government Digital Service where he leads a team of architects, developers and operations specialists developing and operating transformative digital public services. He was the lead architect on the award-winning GOV.UK website and provides hands-on assistance on a range of projects. James lives in Hackney with his wife and two young children.",,,,@jystewart,,http://uk.linkedin.com/in/jystewart,,,,,,y
y,y,y,y,m,Mark,Thiele,EVP of Data Center Technology,Switch,"EVP of Data Center Technology, Switch",,,speaker,y,"Mark Thiele's responsibilities at Switch include evaluating new data center technologies, developing partners and providing industry thought leadership. Prior to joining Switch, Mark was VP of DC Strategy at ServiceMesh. He is also founder and president of Data Center Pulse, a not-for-profit group focused on improving efficiency in data centers. Mark has a long history of IT leadership specifically in the areas of team leadership, infrastructure, and Data Centers. Over a 20 plus year career he’s demonstrated that IT infrastructure can be improved to drive innovation, improve efficiency and reduce cost and complexity. Mark is an advisor to venture firms and startups, and is a globally-recognized speaker at premier industry events. He is listed as a “Top 100 cloud” and “Top 10 Data Center” blogger.",y,,,@mthiele10,,http://www.linkedin.com/in/markthiele,,,,,,y
y,y,y,y,m,Gabor,Veszi,Engineering Manager,Prezi,"Engineering Manager, Prezi",,,speaker,y,"Gábor Vészi is responsible for the teams that manage Prezi's critical backend systems. He joined Prezi as a system administrator, and together with another developer they built most of the company's continuous delivery pipeline while improving the availability of their backend systems. Gábor has since helped grow the team to 14 people, improve availability from 99.8% to 99.99%, and switched to a managerial position. He's passionate about automation, metrics, and bridging the gap between development and operations.",,,,@veszig,https://www.facebook.com/veszig,http://www.linkedin.com/in/veszig,,,,,,y
y,y,y,y,m,Antti,Vilpponen,GM,UpCloud,"GM, UpCloud",,,speaker,y,"Antti Vilpponen is the General Manager of UpCloud, a fast growing cloud infrastructure company from Finland, offering truly flexible and dedicated server resources. Launched in May 2012, UpCloud's infrastructure powers Finland's most highly trafficked social media sites as well as online services for the Finnish Ministry of Justice. UpCloud launched internationally in March 2013 with substantial traction in Europe. Vilpponen has founded several companies himself including ArcticStartup, that has become the largest Northern European online media company profiling startups in the region. At UpCloud he is in charge of the company's commercial operations and international expansion strategy. He holds a B.Sc. from Helsinki School of Economics as well as a Master's degree in International Marketing from Lappeenranta University of Technology.",y,,,@vilpponen,http://facebook.com/vilpponen,http://www.linkedin.com/in/anttivilpponen,,,,,,y
y,y,y,y,m,Russell,Warman,Head of Infrastructure,Trader Media Group,"Head of Infrastructure, Trader Media Group",,,speaker,y,"Russell Warman is Head of Infrastructure at Trader Media Group, the British-based publishing company responsible for the Autotrader brand. He leads the infrastructure team charged with the capacity and performance of one the UK’s busiest websites - autotrader.co.uk, which receives 11million UU. During his 15 years within the organization, Russell has been at the heart of the company's transformation from a traditional magazine publisher to a highly successful new media business. He has been instrumental in the move to private cloud technology, working with his team to build TMG's innovative private cloud solution. Previous projects in data centre consolidation and virtualisation focused on simplifying provision and reducing expenditure without compromising on quality of service.
",y,,,,,,,,,,,y
y,y,y,y,m,Joe,Weinman,"SVP, Cloud Services and Strategy",Telx,"SVP, Cloud Services and Strategy, Telx",,,speaker,y,"Joe Weinman is Senior Vice President, Cloud Services and Strategy at Telx. He has held executive leadership positions at AT&T, Hewlett-Packard, and Bell Laboratories, in areas such as corporate strategy, business development, product management, operations, and R&D. Named a ""Top 10 Cloud Computing Leader"" by TechTarget, Weinman is the author of Cloudonomics: The Business Value of Cloud Computing, a frequent international keynote speaker, and the founder of Cloudonomics: a rigorous, multidisciplinary approach to valuing the cloud. He has been awarded 15 U.S. and international patents in diverse fields and has been showcased in numerous print and online publications and global video broadcasts. He has a Bachelors and Masters in Computer Science from Cornell University and UW-Madison respectively, and has completed Executive Education at the International Institute for Management Development in Lausanne.",,"With over 30 years in executive leadership positions at AT&T, Hewlett-Packard, and Bell Laboratories, Weinman leads Telx’s fast-growing cloud services business development and strategy.",,@joeweinman,,http://www.linkedin.com/in/joeweinman,,,,,,y
