l,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type,Bio Ready?,Biography,timestamp
y,y,y,y,m,Doug ,Solomon,CTO,IDEO,"CTO, IDEO",,,,y,"Doug is the Chief Technology Officer at IDEO, working with clients to leverage technologies that create both business and social value. With more than 25 years of leadership experience in the IT industry, Doug has a particular interest in and knack for collaborative technologies that enable greater community engagement and participation. Prior to joining IDEO, he was vice president of investments at Omidyar Network, where he helped pioneer a new approach to socially responsible investing. He was also senior vice president of corporate development and chief strategy officer at both Apple and Palm, and he held leadership positions at Interval Research and several technology start-ups. Solomon began his career by applying marketing and other business concepts to public health programs in Asia. ",
y,y,y,y,m,Gary,Swart,CEO,oDesk,"CEO, oDesk",,,speaker,y,"Gary brings to oDesk a passion for helping small businesses succeed and more than 17 years of experience in the enterprise software market. Before oDesk, as the VP of Worldwide Sales for Intellibank, he was responsible for building the sales organization, but Gary's enthusiasm for small businesses was born during his tenure as a Business Unit Executive for IBM's Rational Software Product Group, where he led Small and Medium Business sales for the Americas. Gary came to Rational through its merger with Pure Software, where he held sales, management and leadership positions.Gary holds a Bachelor of Science degree in Business Administration from the University of Maryland. ",
y,y,y,y,m,Maynard,Webb,Chairman and CEO,LiveOps,"Chairman and CEO, LiveOps",7,,speaker,y,"As Chairman and CEO of LiveOps, Maynard brings 30 years of experience developing and leading high-growth companies. Before joining LiveOps Maynard served as the COO of eBay, where he created and implemented organizational processes and day-to-day structures which enabled eBay to effectively grow from $140 million to over $4.5 billion in revenue in 2005, while the employee base grew from 250 to over 12,000. Before joining eBay, Maynard was SVP and CIO for Gateway, Inc. and held leadership positions with IBM and Bay Networks, among others. His leadership extends far beyond LiveOps with the work he does as a board member of many fast growing companies, including AdMob (acquired by Google in 2010) and salesforce.com. He holds a bachelor's degree from Florida Atlantic University.",
y,y,y,y,m,Michael,Wolf,VP Research,GigaOM Pro,"VP Research, GigaOM Pro",,,speaker,y,"Michael Wolf has spent more than 10 years as an industry analyst, starting at In-Stat and launching the company’s consumer networking and digital media research services, and more recently was the digital home practice director for ABI. He’s been a columnist for Network World and has written a book on home networking for consumers. At GigaOM Pro, he oversees overall research efforts and serves as curator for the Connected Consumer.’",
y,y,y,y,m,Timothy,Young,Founder and CEO,Socialcast,"Founder and CEO, Socialcast",,,speaker,y,"Providing the creative vision for Socialcast and its technology, Timothy brings nearly a decade of web development experience and over 8 years of entrepreneurship to the company. His prior venture, Event Robot, developed online communities for consumer-facing brands in the entertainment industry. Timothy's interests include emergent processes and behaviors, flock theory, connectionism, and collective intelligence, all of which are integrated into the Socialcast product. He regularly speaks about social networking and collaboration at industry conferences and guest teaches at the University of California, Irvine. ",
,y,,y,m,Delip ,Andra,CEO and Founder,Twezr,"CEO and Founder, Twezr",,,,,,
,y,,y,m,Brendan,Browne,Director of Global Talent Acquisition , LinkedIn ,"Director of Global Talent Acquisition, LinkedIn",,,speaker,y,"Brendan leads the Global Talent Acquisition function at LinkedIn focusing on scaling the company’s talent globally and redefining how companies recruit.  He has spent the past 15 years in a variety of talent acquisition and HR leadership roles.  Prior to LinkedIn, Brendan worked at Rearden Commerce, a SaaS start-up, leading recruiting and HR.  From 2004-2008,  he led staffing for the Corporate R+D groups at Microsoft which included incubations, advanced development and Microsoft Research labs in Redmond, Beijing, Cambridge, UK.  Earlier in his career, Brendan spent 5+ years with Sapient managing recruiting teams in MA, CA and building teams in New Delhi, India.  After graduating from Villanova University, Brendan fell into the recruiting business learning the nuts and bolts of headhunting working in the staffing agency business in Boston.",
,y,y,y,m,Evan ,Kaplan,President and CEO,iPass,"President and CEO, iPass",,,speaker,y,"Evan L. Kaplan is president and CEO of iPass, Inc., a leading provider of enterprise mobility services with more than 3,500 customers. An experienced entrepreneur, Evan founded Aventail Corporation, a pioneer of SSL VPN access, in 1996. He served as president and CEO of the company until it was acquired by Sonicwall in July 2007. Evan has been honored as one of Network Worldâ€™s 50 Most Powerful People in the Networking Industry, and as a 1999 Ernst and Young Entrepreneur of the Year in the Pacific Northwest. He currently serves on the advisory boards of Mpire, CityID and HomePipe Networks. Evan holds an MBA from the University of Washington.",1278541893
,y,y,y,m,Saad,Khan,"Partner, Information Technology",CMEA Capital,"Partner, Information Technology, CMEA Capital",,,speaker,y,"Saad Khan is a Partner at CMEA Capital and leads their digital media and Web efforts. This includes early stage investments in crowdsourcing companies Pixazza, Blekko, and LiveOps as well as Jobvite and Evolution Robotics. Prior to CMEA, Saad was a Venture Partner at Garage.com where he helped build Silicon Valley’s first startup incubator.  In addition to his venture activities, he is the co-founder of the Film Angels (working with producers like Carlos Santana and other Hollywood personalities), an Advisor to SamaSource (micro-work for the next billion), and a Charter Member of TIE. He has been a guest lecturer at the Stanford Design School and the UC Berkeley Business School. He blogs at SaadWired.com and has been featured in Forbes, the Wall Street Journal, and the New York Times.",
,y,y,y,m,Ross‎,Mayfield,"Chairman, President and Co-Founder ",Socialtext,"Chairman, President and Co-Founder, Socialtext",,,speaker,y,"Ross Mayfield is Chairman, President & Co-founder of Socialtext. Prior to Socialtext, Mayfield served as VP of Marketing for a Fujitsu spinout and CEO of an enterprise risk management software company. Mayfield co-founded and served as president of RateXchange (AMEX:RTX), the leading B2B commodity exchange for telecom. Mayfield served as the marketing director of the largest privately held telecommunications group in Eastern Europe and was the internal lead manager of their Initial Public Offering. He also founded an ISP, a web-design company, and has served on a number of Advisory Boards of high tech startups.",
,y,,y,m,Sameer,Patel,Managing Director,The Sovos Group,"Managing Director, The Sovos Group",,,,,,
