FF,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Facebook,P Twitter,P LinkedIn,,,,,,
y,y,y,y,m,Mike ,Kuniavsky,Principal Scientist,"PARC, a Xerox company","Principal Scientist, PARC, a Xerox company",,,speaker,y,"Mike Kuniavsky leads user experience design in the Innovation Services Group at PARC, a Xerox company. A twenty-year veteran of digital product development, he designs products, business processes, and services at the leading edge of technological change. Prior to PARC, Mike co-founded several successful user experience centered companies, including ThingM, which designs and manufactures ubiquitous computing and Internet of Things products, and Adaptive Path, a well-known design consultancy. He has worked with top technology companies, such as Samsung, Sony, Nokia, Whirlpool, and Qualcomm, to design new products, guide product strategy, and create user-centered design and development cultures. Mike is the author of ""Observing the User Experience: A Practitioner's Guide to User Research"" and ""Smart Things: Ubiquitous Computing User Experience Design.""",y,,,,@mikekuniavsky,,,,,,,
y,y,y,y,m,Manish,Lachwani ,Co-Founder and CTO, Appurify,"Co-Founder and CTO, Appurify",,,speaker,y,"As the brains behind Appurify’s technology, Manish holds the secret sauce to our platform. Manish has a unique blend of expertise. As a systems architect at Amazon Kindle, he designed the operating system for the Kindle line of products. At MontaVista, he was among a select group of MIPS/ARM architects that worked on the first multicore real time Linux OS, Linux 2.4 and 2.6 versions. Manish holds 32 patents in areas such as USB, Power Management, WiFi, Battery/Chargers, System Debugging and Validation. Most recently, he was a CTO at Zynga. - See more at: http://appurify.com/team/#sthash.aqb3zQ2o.dpuf",,,,,@appurify,http://www.linkedin.com/in/manishlachwani,,,,,,
y,y,y,y,m,Jeff,Lawson,CEO,Twilio,"CEO, Twilio",,,speaker,y,"Jeff brings over 10 years of entrepreneurial product leadership experience to Twilio. Jeff served as Product Manager for Amazon Web Services, and has held founding executive roles for NineStar, Stubhub.com and Versity.com",,,,,@jeffiel,http://www.linkedin.com/in/jeffiel,,,,,,
y,y,y,y,m,Marc,Lefar,CEO,Vonage,"CEO, Vonage",,,speaker,y,"Prior to joining Vonage as CEO in 2008, Lefar was CMO for Cingular Wireless (now AT&T Mobility) where he played a leadership role in the acquisition of AT&T Wireless into Cingular. He was also a lead executive in developing the relationship with Apple for the exclusive launch of the iPhone, working directly with Steve Jobs. Before joining Cingular (AT&T), Lefar was CMO of Cable and Wireless Global, and held senior roles at Verizon Wireless and GTE Wireless. At Verizon, Lefar lead the development and launch of their first national mobile Internet service. Lefar was appointed by President Obama in 2011 to serve one the President’s National Security Telecommunications Advisory Committee. Lefar earned a B.S. in Commerce from McIntire School of Commerce at University of Virginia.",,,,,@Vonage,http://www.linkedin.com/pub/marc-lefar/7/265/6b4,,,,,,
y,y,y,y,f,Jo,Maitland,Research Director,GigaOM Research,"Research Director, GigaOM Research",,,speaker,y,"Jo Maitland is Research Director for the Infrastructure/Cloud channel at GigaOM Pro. Jo has been a technology journalist and analyst for 15+ years specializing in enterprise IT trends, specifically infrastructure virtualization, storage and cloud computing. At Forrester Research and The 451 Group, Jo covered cloud-based storage and archiving and the challenges of long term digital preservation. At TechTarget Jo was Executive Editor of several websites covering virtualization and cloud computing. She managed a team of reporters and editors and wrote news, features and columns for those sites which became leading information resources under her guidance. Jo has spoken at several major industry events including NetWorld + Interop and VMworld on virtualization and cloud computing trends. She has a BA (Hons) in Journalism from the University of Creative Arts in the UK. In her spare time Jo enjoys adventures in new places, extreme sports, writing screenplays and watching movies.",,,,,@JoMaitlandSF,,,,,,,n
y,y,y,y,m,Om,Malik,Founder and Senior Writer,GigaOM,"Founder and Senior Writer, GigaOM",,,speaker,y,"Om Malik has more than 15 years of experience as a journalist covering technology and business news. He was part of the founding team of Forbes.com as a Senior Editor. He then went on to become a senior writer at Red Herring during its glory days before joining Business 2.0 in March 2003, covering telecom, innovation and broadband stories. His contributions have been published in The Wall Street Journal, The Economist and MIT Technology Review. Additionally, Om is the author of “Broadbandits: Inside the $750 Billion Telecom Heist.” He is also the recipient of many industry awards, including Excellence in Journalism from the Society of Professional Journalists in 2001 and the Gold Award from American Society of Business Publication Editors in 2001.",,,,,,,,,,,,
y,y,y,y,m,Javier,Martinez,"Director, Business and Commercial Development",Libelium,"Director, Business and Commercial Development, Libelium",,,speaker,y,"Javier Martinez is director of business development at Libelium, the provider of open source hardware and sensor network technology used in Smart Cities, smart agriculture, environmental solutions and a host of Internet of Things (IoT) projects. Javier is responsible for developing the company’s global network of partners and distributors. Previously, he served as managing director of Videotronic España Multimedia, and export manager at Industrias Ventura S.L, a manufacturer of electronics, where he opened new markets in Eastern Europe and the Middle East. He holds a BA in Business Administration from the University of Zaragoza (Spain) and is a graduate of Kingston University, London.",,,,,@libelium,es.linkedin.com/pub/javier-martinez-martin/16/9/4b3,,,,,,
y,y,y,y,m,Kevin,McGinnis,"VP, Development",Sprint Pinsight Media+,"VP, Development, Sprint Pinsight Media+
",,,speaker,y,"Kevin McGinnis is vice president of Product Development & Operations for Pinsight Media, a division of Sprint. In his role, he manages all aspects of development, technology planning and operations for the emerging market focus of Pinsight Media and the Sprint Accelerator. During the past year, Kevin has been the driving force behind much of the corporate involvement in the entrepreneurial community in Kansas City and the region. He was instrumental in orchestrating the Reverse Pitch event during Global Entrepreneurship Week in 2012 and the collaboration between corporations in Kansas City. Under Kevin’s leadership, Sprint partnered with UMKC to launch Digital Sandbox KC and is an ongoing supporter of the Kauffman Foundation’s One Million Cups, Pipeline Entrepreneurs, Silicon Prairie News, Startup Weekend and other initiatives.",,,,,,,,,,,,
y,y,y,y,m,Adam,Medros,"VP, Global Product",TripAdvisor,"VP, Global Product, TripAdvisor",,,speaker,y,"Adam Medros heads worldwide product development for TripAdvisor. Since joining TripAdvisor in 2004, Adam has overseen the improvements to core functionality, international expansion, and development of a wide variety of travel planning features, including TripAdvisor Mobile and the launch of successful TripAdvisor Facebook applications. Adam also led the launch of the “TripAdvisor Trip Friends” social feature and Facebook Instant Personalization on TripAdvisor. Prior to joining TripAdvisor, Adam held Senior Analyst and Product Manager positions at Nordstrom.com, Amazon.com, and The Parthenon Group. He serves on the board of oneforty.com, MITX, and is an advisor to care.com. Adam holds an MBA from Harvard Business School and a bachelor’s degree from Dartmouth College.",,,,https://www.facebook.com/TripAdvisor,@TripAdvisor,,,,,,,
y,y,y,y,m,Sascha,Meinrath,VP and Director,New America Foundation's Open Technology Institute,"VP and Director, New America Foundation's Open Technology Institute",,,speaker,y,"Sascha Meinrath is vice president of the New America Foundation and director of the Open Technology Institute (OTI), where he leads efforts to advance policy and regulatory reforms that protect an open and free Internet, safe communications, and promote competition in mobile and wireline telecommunications. An unapologetic advocate for consumers and a counterweight to the major telecom and wireless industry lobbyists in Washington, Sascha was named to the “TIME Tech 40” in 2013 as one of the most influential figures in technology, and was also named to the “Top 100” in Newsweek's Digital Power Index in 2012. Sascha has also been described as a ""community Internet pioneer"" and an ""entrepreneurial visionary.""",,,,https://www.facebook.com/saschameinrath,@saschameinrath,,,,,,,
y,y,y,y,m,Eric,Migicovsky,Founder and CEO,Pebble Technology,"Founder and CEO, Pebble Technology",,,speaker,y,"Eric Migicovsky is the founder and CEO of Pebble Technology, the company behind the Pebble watch, a smartwatch for iPhone and Android. While studying engineering at the University of Waterloo, Eric began building smartwatches alongside a group of friends and created the first model, InPulse. In April 2012, Eric and his team launched the second generation, Pebble, on the Kickstarter crowdfunding platform, where it became the most successful crowdfunded project in Kickstarter’s history.  An engineer and entrepreneur, Eric is passionate about developing well-designed, creative products that integrate smoothly into daily life. He lives in Palo Alto where he and the rest of the Pebblers are busy working on the first watch built for the 21st century.",y,,,https://www.facebook.com/eric.migicovsky?fref=ts,@ericmigi,http://www.linkedin.com/vsearch/p?orig=SEO_SN&firstName=Eric&lastName=Migicovsky&trk=SEO_SN,,,,,,
y,y,y,y,m,Scott,Miller,CEO,Dragon Innovation ,"CEO, Dragon Innovation ",,,speaker,y,"Scott N. Miller the CEO of Dragon Innovation, who’s mission is to help hardware entrepreneurs succeed in every phase of the journey from a prototype to manufacturing at scale. Dragon’s services include Crowdfunding and an API for manufacturing. Dragon has helped Pebble, Romotive, MakerBot, Sifteo, Orbotix and over 100 other companies succeed. Prior to founding Dragon, Scott spent 10 years at iRobot and was responsible for setting up and leading the team that manufactured Roomba, Scooba, Looj and ConnectR. Scott has served as an Adjunct Professor of Mechanical Engineering at Olin College and taught the Mechanical Design and the Design for Manufacture courses.  Scott holds a Bachelor from Dartmouth and a Masters from MIT.",,,,https://www.facebook.com/dragoninnovation,@dragoninnovate,http://www.linkedin.com/in/scottnmiller,,,,,,
y,y,y,y,m,Dennis,Miloseski,Head of Design Studio,Samsung Design America,"Head of Design Studio, Samsung Design America",,,speaker,y,"Dennis Miloseski joined Samsung in 2012. As head of the design studio for Samsung Design America, he is responsible for leading the overall design and strategy for existing and emerging product categories at Samsung. Prior to Samsung, Dennis was a design thought leader at Google. He joined Google in 2007 and managed the design teams responsible for launching end-to-end experiences for products such as Gmail and Google Apps. During his time at Google, Dennis was also head of user experience for confidential platform efforts and was awarded an OC Award by top executives and the exclusive Founder’s Award by Larry and Sergey for his outstanding contributions to innovation at Google. Dennis earned degrees in design and interactive media from the Art Institutes International in Pittsburgh, Penn.",y,,,,@Samsungtweets,http://www.linkedin.com/in/miloseski,,,,,,
y,y,y,y,m,Rich,Miner,General Partner,Google Ventures,"General Partner, Google Ventures",,,speaker,y,"Rich leads Google Ventures’ mobile investments and has over 25 years of experience growing businesses in the mobile industry. Rich is a co-founder of Android and helped lead the development of the Android platform and ecosystem at Google. Rich was also a co-founder of Wildfire, acquired by Orange.",,,,, @richminer,http://www.linkedin.com/in/richminer,,,,,,
y,y,y,y,m,Vish,Nandlall,"SVP, Strategy and CTO
",Ericsson,"SVP, Strategy and CTO, Ericsson",,,speaker,y,"Dr. Nandlall is currently CTO at Ericsson North America. In this role he is responsible for defining the US and Canadian roadmap and solution strategy for Ericsson's wireless and wireline service provider customers. Vish is a member of the TIA and SCTE board of directors. He is also a member of many advisory boards including the FCC, TAC and EMC'S TAB, and University of Texas Arlington Industry Advisors. He has previously held the title of CTO of Extreme Networks and CTO for Nortel Carrier Networks. As CTO for Nortel Carrier Networks, he led a team of over 90 architects and standards delegates who participate in GSM, CDMA, WiMAX, LTE and Carrier VoIP portfolios.",y,,,,@ericsson,http://www.linkedin.com/in/vnandlall,,,,,,
y,y,y,y,m,Michael,Neidhoefer,CEO,Netbiscuits,"CEO, Netbiscuits",6,,speaker,y,"Michael co-founded Netbiscuits in 2000, and has since been the company CEO. A true Mobile Internet pioneer, he has transformed Netbiscuits in to a market-leading software company, which has a client roster of over 300 Enterprise brands including; eBay, Google, Coca-Cola, Axel Springer, BMW Group and Procter & Gamble. As one of the most experienced individuals in the mobile market today, Michael has overall responsibility for the company’s strategic vision, and is an active voice in shaping the industry through affiliations with the likes of Mobile Monday, MMA, CTIA, MEF and inMobile.",y,,,,@netbiscuits,http://www.linkedin.com/in/netbiscuits,,,,,,
y,y,y,y,m,Surj,Patel,CEO,Smart Mocha,"CEO, Smart Mocha",,,speaker,y,"Surj is responsible for Smart Mocha’s strategy, customer base, and business operations. Prior to Smart Mocha, Surj held a number of management, business development, and key innovation roles at prestigious global companies like GigaOM, Orange and the BBC. His experience ranges in companies at various sizes. His roles have combined his passions for technology, business and product management, which continue at Smart Mocha. Surj has a Masters degree from The MIT Media Laboratory and a degree in Computer Science from The University of Manchester.",,,,,@surj,http://www.linkedin.com/in/surjp,,,,,,
y,y,y,y,m,Chris ,Penrose,SVP,AT&T,"SVP, AT&T",,,speaker,y,"Chris Penrose is Senior Vice President of AT&T’s Emerging Devices Organization. Chris leads a team that is responsible for connecting AT&T’s wireless network to devices in the automotive, mobile computing, mHealth and consumer electronics industries. With more than two decades of experience with AT&T , Penrose has expertise in strategic planning, new product development, sales, marketing, distribution planning and customer service. Prior to this role, Penrose was Vice President/General Manager of AT&T’s South Texas Market, where he had complete P&L responsibility for both wireline and wireless products. He held a similar position with AT&T in Virginia and West Virginia. Penrose earned a Bachelor in Science in Marketing and a Masters in Business Administration from Indiana University.",,,,,@ATT ,,,,,,,
y,y,y,y,f,Juliette,Powell,Founder,WeTheData.com,"Founder, WeTheData.com",7,,speaker,y,"With a life's mission to find meaning in our digital lives, Juliette is the co-founder/field researcher of WeTheData.com. Author of 33 Million People in the Room (Financial Times Press), Powell identifies the patterns and practices of successful leaders who bank on big data and social technology to win. A passionate advocate for digital literacy, critical thinking and collaboration, Powell consults on the Future(s) of Innovation, Information, Leadership and Education for the UN, Warner, Justice Department, Red Cross, Cirque du Soleil and Intel Labs. Powell's keynotes at The Economist, Harvard and MIT and her live commentary on ABC, CNN, and BBC emerged from a solid journalistic background, a lifelong interest in community-building combined with a deep knowledge of the people, technologies and businesses driving connected society.",y,,,,@juliettepowell,http://www.linkedin.com/in/juliettepowell,,,,,,
y,y,y,y,m,Robert,Rodriguez,Chairman and Founder,SINET,"Chairman and Founder, SINET",,,speaker,y,"Robert D. Rodriguez is the Chairman & Founder of the Security Innovation Network™ (SINET) and is the catalyst who builds   global collaboration   models    in the Cybersecurity domain that advance innovation  by  connecting  the  ecosystem of the entrepreneur; academia,    science,    private   industry, investment banking, system integration, policy, innovators, law enforcement, venture capital and the Federal Government to include the civilian, military and intelligence agencies. In his previous career Robert served twenty-two years as a Special Agent with the United States Secret Service where he held a number of executive leadership positions and served   Presidents Reagan, Bush and Clinton. He serves on the Board of Advisors for The Chertoff Group and on the National Cyber Security Hall of Fame Board of Directors.",,,,,@SINETconnection,http://www.linkedin.com/pub/robert-rodriguez/7/713/260,,,,,,
y,y,y,y,m,Michael,Rosenblatt,CEO,Seamless Toy Company,"CEO, Seamless Toy Company",,,speaker,y,"Michael Rosenblatt loved to build stuff. So he went to MIT to build toys and robots, and then on to Apple to build iPods and iPhones. He thought all kids that want to build stuff like he did should have the chance to do it in a super easy way so he came up with the idea for ATOMS, back in 2009. When he decided to build ATOMS, he turned to the awesomely amazing entrepreneur community in Boulder, CO, which helped him quickly bring together a team of 25+ people with backgrounds in product design and development, manufacturing, marketing, PR, and operations. And oh yeah, they were (are) all PUMPED to be working on something so cool that they did it in their “free” time.
",,,,https://www.facebook.com/AtomsExpress,@mrosenblatt,http://www.linkedin.com/in/mrosenblatt,,,,,,
y,y,y,y,m,Bill,Ruh,Head of GE Software and Analytics Center,General Electric,"Head of GE Software and Analytics Center, General Electric",,,speaker,y,"Bill Ruh is head of GE’s software and analytics center. He is responsible for setting and leading the software services and solutions portfolio strategy, development and operations across all of GE. Bill's team develops software to power the Industrial Internet, a living network of intelligent machines and systems designed to advance industry and improve lives. These systems and solutions put data to work for GE’s customers, giving businesses intelligent insight to make more sustainable and safe products. Bill has more than 25 years of industry experience in enterprise application integration and object oriented technology. Previously, he was vice president at Cisco where he held global responsibility for developing advanced services and solutions.",,,,,@generalelectric,http://www.linkedin.com/pub/william-ruh/0/700/958,,,,,,
y,y,y,y,m,Olof,Schybergson,CEO,Fjord,"CEO, Fjord",,,speaker,y,"Olof Schybergson is the CEO and Co-founder of Fjord. Under Olof’s leadership, Fjord has grown to become one of the world’s most successful service design consultancies working with clients including the BBC, Citibank, ESPN, Harvard Medical School, Nokia, PayPal, and Qualcomm, among others. A pioneer and a visionary in creating breakthrough digital experiences, Olof continues to drive creativity and innovation at Fjord, always with an eye towards the future of the industry. Olof is a well-respected trend spotter and contributor to global publications including GigaOm, The Guardian, Fast Company, and Fortune, among others. A frequent speaker at global conferences and events, his recent appearances including Fortune 2012 Brainstorm Tech, GigaOm Mobilize, and Rutberg Future: Mobile.",,,,https://www.facebook.com/fjordnet,@olof_s,http://www.linkedin.com/in/olofschybergson,,,,,,
y,y,y,y,m,Simon,Segars,CEO,ARM Holdings,"CEO, ARM Holdings",8,,speaker,y,"Simon Segars joined the Board in January 2005 and was appointed CEO in July 2013. He was previously President. Earlier senior roles included EVP, Engineering; EVP, Worldwide Sales; EVP, Business Development; and EVP and General Manager of the Processor and Physical IP Divisions. He joined ARM in early 1991 and worked on many of the early ARM CPU products. He led the development of the ARM7 and ARM9 Thumb® families. He holds a number of patents in the field of embedded CPU architectures.",y,,,,@simonsegars,http://www.linkedin.com/profile/view?id=6677778&locale=en_US&trk=tyah2,,,,,,
y,y,y,y,m,Peter,Semmelhack,CEO,Bug Labs,"CEO, Bug Labs",,,speaker,y,"Peter Semmelhack is the founder and CEO of Bug Labs, developer of an award-winning open source consumer electronics and web services platform, recently featured in MoMA’s “Talk to Me” exhibit. He authored ""Social Machines"" which was published by Wiley & Sons in April 2013. As a founding member of the rapidly growing open source hardware movement, Peter is a frequent speaker at events around the world. He is also the founder, Board member and former CEO of Antenna Software, one of the country's largest mobile enterprise software companies. His work has been covered and discussed by the international media including the New York Times, the Economist, the Hindu, Fortune, CNN, Nikkei Business, and Forbes. Peter holds a BA in economics from Brown University '87",,,,,@psemme,www.linkedin.com/pub/petersemmelhack/0/123/67b,,,,,,
y,y,y,y,m,Gary,Shapiro,President and CEO,Consumer Electronics Association,"President and CEO, Consumer Electronics Association (CEA)",,,speaker,y,"Gary Shapiro is president and CEO of the Consumer Electronics Association (CEA)®, the U.S. trade association representing more than 2,000 consumer electronics companies, and owning and producing the world’s largest annual innovation tradeshow, the International CES®. Shapiro authored CEA’s New York Times bestseller “The Comeback: How Innovation Will Restore the American Dream” (Beaufort, 2011) and “Ninja Innovation: The Ten Killer Strategies of the World’s Most Successful Businesses” (Harper Collins), released in January 2013. Through these books and television appearances, and as a weekly Forbes.com columnist and regular contributor to the Huffington Post, Daily Caller and other publications, Shapiro has helped direct policymakers and business leaders on the importance of innovation in the U.S. economy.",,,,https://www.facebook.com/NinjaInnovation?ref=ts&fref=ts,@garyshapiro,,,,,,,
y,y,y,y,m,Chetan,Sharma,President,Chetan Sharma Consulting,"President, Chetan Sharma Consulting",,,speaker,y,"Chetan Sharma is President of Chetan Sharma Consulting and is one of the leading strategists in the mobile industry. Executives from wireless companies around the world seek his accurate predictions, independent insights, and actionable recommendations. He has served as an advisor to senior executive management of several Fortune 100 companies in the wireless space and is probably the only industry strategist who has advised each of the top 6 global mobile data operators. Some of his clients include NTT DoCoMo, Disney, KTF, China Mobile, Toyota, Comcast, Motorola, FedEx, Sony, Samsung, Alcatel Lucent, KDDI, Virgin Mobile, Sprint Nextel, Skype, AT&T Wireless, Reuters, Juniper, Qualcomm, Nissan, Amdocs, Comverse, Reliance Infocomm, SAP, Merrill Lynch, Microsoft, American Express, and Hewlett-Packard.",,,,http://www.facebook.com/chetansharma,@chetansharma,http://www.linkedin.com/in/chetansharma,,,,,,
y,y,y,y,m,Jay,Srinivasan,Co-Founder and CEO, Appurify,"Co-Founder and CEO, Appurify",,,speaker,y,"Jay Srinivasan is CEO and co-founder at Appurify, where he is responsible for driving the company’s strategy and growth. Most recently, Jay was a revenue product manager on the Farmville franchise and a member of the M&A team at Zynga. Previously, he spent more than five years at McKinsey & Co. where he specialized in B2B sales and marketing for high-tech companies. Jay has a Ph.D. in Computer Science from the University of Illinois and a B.Tech in Electrical Engineering from the Indian Institute of Technology, Madras. He holds several patents in microprocessor reliability and mobile developer tools.",,,,,@jay_srinivasan,www.linkedin.com/pub/jay-srinivasan/5/676/213,,,,,,
y,y,y,y,m,Linden,Tibbets,CEO,IFTTT,"CEO, IFTTT",,,speaker,y,"Linden is one of the adventurous individuals working on IFTTT, a service that empowers people to take creative control over the devices and applications they use everyday. Linden is also tall.",,,,,@ltibbets,http://www.linkedin.com/in/lindentibbets,,,,,,
y,y,y,y,m,Kevin,Tofel,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"After spending 15 years in IT at Fortune 100 companies, Kevin turned a hobby into a career and began covering mobile technology in 2003. He writes daily on the industry and has co-hosted the weekly MobileTechRoundup podcast since 2006. His writing has appeared in print (The New York Times, PC Magazine and PC World) and he has been featured on NBC News in Philadelphia. Kevin’s unique approach is to use the technology as a consumer would, so that he can report back to readers honestly about what they can expect from a device or app and help them get the most out of it. Freescale has named Kevin a “Top 20 Smart Mobile Device Pundit.” When not playing with the latest gadget, Kevin is typically spending time with his family, reading e-books or running in the rural areas near his home office in southeastern Pennsylvania.",,,,,,,,,,,,
y,y,y,y,m,Kevin,Toms ,Hue Developer Program Architect,Philips,"Hue Developer Program Architect, Philips",,,speaker,y,"Kevin Toms is a Hue Developer Program Architect at Philips Lighting where he constructed the SDK design for Philips’ personal wireless lighting system, Hue. Additionally, he oversees the developer program, which includes bringing developers to the program, as well as providing education and training on how to develop for Hue. Toms also plays a key architectural role in the creation of SDKs and other tools for Hue developers. With over 30 years of experience, Toms previously consulted and worked for IBM, Sun, City of London Bank and the European Space Agency. An award winning games developer, Toms founded Addictive Games early in his career, where he launched the Football Manager genre of computer games and was awarded Strategy Game of the Year.",,,,,@PhilipsLight,,,,,,,
y,y,y,y,m,Adrian,Turner,Founding CEO,Mocana,"Founding CEO, Mocana",,,speaker,y,"One of Silicon Valley's most respected experts on mobile and the Internet of Things, Adrian Turner co-founded Mocana and has since built the company into one of the most influential mobile and smart device security companies in the world. Under his leadership, the company counts over 250 global device makers as customers, including Cisco, Sony, Honeywell, Dell, General Electric and 5 of the top 7 Android OEMs, to name a few; as well as a global reseller relationship with SAP for Mocana's flagship Mobile Application Protection solution. Mocana has won numerous awards including the ""2012 Technology Pioneer"" award from the World Economic Forum.  Adrian is also author of the book BlueSky Mining (www.blueskyminingbook.com) which examines Silicon Valley's success in repeatedly spawning new billion dollar industries.",,,,,@mocana,http://www.linkedin.com/pub/adrian-turner/0/129/aa1,,,,,,
y,y,y,y,m,Eben,Upton,Executive Director,Raspberry Pi Foundation,"Executive Director, Raspberry Pi Foundation",,,speaker,y,"Eben is a founder of the Raspberry Pi Foundation, and serves as its Executive Director. In an earlier life, he founded two successful mobile games and middleware companies, Ideaworks 3d Ltd and Podfun Ltd, held the post of Director of Studies for Computer Science at St John's College, Cambridge, and was co-author of The Oxford Rhyming Dictionary along with his father. He holds a BA in Physics and Engineering, a PhD in Computer Science, and an Executive MBA, from the University of Cambridge.",y,,,,@EbenUpton,,,,,,,
y,y,y,y,m,Steven,van Wel,CEO,Karma,"CEO, Karma",,,speaker,y,"Steven van Wel is the co-founder of Karma, Karma is the easiest way to get online. By unlocking Wi-Fi we will make it possible for everyone to bring your own bandwidth, anywhere in the world. Born in Amsterdam, the Netherlands, he started his first company when he was 19 years old. He is the co-author of the book Elastic Beanstalk, published by O'Reilly in 2011, and previously founded cloud printing startup Marvia (acquired by PostNL). He is currently based in New York, where Karma was launched while in the TechStars program.",,,,http://fb.com/stevenvanwel,@stevenvanwel,http://www.linkedin.com/in/stevenvanwel,,,,,,
y,y,y,y,m,Davide,Vigano,Co-Founder and CEO,Heapsylon,"Co-Founder and CEO, Heapsylon",,,speaker,y,"Davide Vigano’ is cofounder and CEO of Heapsylon, a wearable device startup based in Redmond (WA) USA. The company’s vision is that ""The Garment is The Computer."" After PC’s, smartphones and tablets, smart clothing will fuel the next wave of innovation in personal computing. Heapsylon is developing a family of smart garments including Sensoria Fitness: a smart sock that can detect pressure, force and communicate data related to activity type and level, simplified Gait analysis and more. Davide is a former Microsoft Executive with over 25 years of sales, marketing and extensive product management experience. Joined the Mac Works, Mac Office teams in 1987 and more recently served as General Manager of the Health Solutions Group where he was in charge of marketing and product strategy for both HealthVault and the Amalga product line. He acted as Vice President of the Worldwide SMSP Medium Business division which he grew 18% YOY to over $14B. His broad international experience includes managing the top five P&L’s of one of the largest subsidiaries in the world. He brought the Italian Microsoft Business and Enterprise operations to number one in the world for contribution margin, $1B in revenues, 6th largest subsidiary overall. He has been selected as Microsoft Executive Bench Member in 2005, won the CFO Award in 2002, Winner of the 1994 Microsoft President Award directly awarded by Steve Ballmer and Bill Gates to one top performer in EMEA. Davide has also been featured with a full page picture and interview in the Microsoft Corporate Annual Report in 1991.",,,,https://www.facebook.com/SensoriaFitness,@Healthpilot,http://www.linkedin.com/in/dvigano/,,,,,,
y,y,y,y,m,Aaron,Watkins,"President and Co-Founder, Appency and Analyst",GigaOM Research,"President and Co-Founder, Appency and Analyst, GigaOM Research",,,speaker,y,"Aaron Watkins has worked with mobile technology since before phones flipped open. In his six years as an ipsh! Mobile Marketing executive, Aaron led award-winning mobile campaigns for major brands like Anheuser-Busch and Unilever, building strong, lasting business relations. In 2008, Aaron started the San Francisco office of The Hyperfactory, a global mobile agency. Aaron wrote the official GigaOM guide to app marketing and founded Appency in 2009. Leading one of the only app-exclusive marketing and public relations firms in the world, Aaron has helped dozens of companies understand and succeed in the app space, from giants like Random House and Universal to one-man indie studios like Codito and Inkstone Mobile. Aaron enjoys the challenge of the distinct, tumultuous markets of both Apple and Android.",,,,http://www.facebook.com/appency,@appguyaaron,http://www.linkedin.com/company/appency,,,,,,
y,y,y,y,m,Eugene,Wei,Head of Product,Flipboard,"Head of Product, Flipboard",,,speaker,y,"Analyst, Product Manager, Program Manager, and General Manager at Amazon.com from 1997-2004. Head of Product at Hulu from its inception through 2011. Co-founder of Erly. Currently Head of Product at Flipboard.",,,,,@eugenewei,,,,,,,
y,y,y,y,m,Andres,Wolberg-Stok,Global Mobile and Tablet Banking Director,Citi Consumer Banking,"Global Mobile and Tablet Banking Director, Citi Consumer Banking",,,speaker,y,"Andres Wolberg-Stok leads Citi’s global consumer mobile and tablet banking products. He joined Citi from an international personal finance start-up and has been in a variety of digital roles since then. Previously, as consumer digital strategy head for the U.S., Andres led the teams that designed and built Citi’s award-winning U.S. consumer tablet apps. Before becoming a banker, Andres was a foreign correspondent and international news executive. He hobnobbed with heads of state and ministers; was driven, blindfolded and at gunpoint, around the capital of Paraguay after midnight; and raced in a car at 120 mph along a minefield in Croatia. He finds most days in banking very manageable.",,,,,,http://www.linkedin.com/pub/andres-wolberg-stok/10/604/302,,,,,,
y,y,y,y,f,Kristina,Yee,"Principal, M4 Associates and Analyst",GigaOM Research,"Principal, M4 Associates and Analyst, GigaOM Research",,,speaker,y,"Kristina J. Yee is a market strategist and change agent focused on the cloud-enabled business and financial services technology. Her interest is in all aspects of cloud-delivered software technology, e-security and mobile commerce within consumer, enterprise and B2B2C companies across industries. Kristina has worked closely with successfully acquired start-ups, mid-size companies looking to “cross the chasm” as well as Fortune 1000 companies in the midst of reinventing themselves. Her articles have appeared in Mortgage Banking and New York Finance, and she has been interviewed by such publications as INC., The Wall Street Journal, The Economist, The Financial Times and American Banker. Kristina holds a B.A. in English and Film from Yale, and earned her M.B.A. in Marketing and Management of Organizations from Columbia Business School.",,,,,,http://www.linkedin.com/in/kjyee,,,,,,
y,y,y,y,m,Todd,Yellin,VP of Product Innovation,Netflix,"VP of Product Innovation, Netflix",,,speaker,y,"Todd S. Yellin has enjoyed a career dedicated to film and TV entertainment. His current role as VP of Product Innovation for Netflix revolves around changing the way tens of millions of members find great streaming content to watch over the internet on their TVs, computers, tablets and smart phones. He is also responsible for the member and non-member experiences across hundreds of devices and the personalization logic that makes it easy to find something great to watch. Before Netflix, Todd filmed Tibetan refugees escaping over the Himalayas and for British TV he filmed political oppression in Myanmar (Burma). Though he savored life as an indie documentarian, writer and director, he now feels privileged to be on the cutting edge of TV.",y,,,,@netflix,http://www.linkedin.com/in/tsyellin,,,,,,
