IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp,P Twitter,P Facebook,P LinkedIn
,yes,yes,yes,m,Dominic,Monkhouse,Managing Director,"PEER 1
","PEER 1
",,,speaker,yes,"Dominic Monkhouse is the Managing Director of PEER 1's UK operations. Dominic has spent 14 years working in sales, marketing and business management within the IT sector. Dominic is responsible for sales, marketing and service delivery across the UK business and ultimately ensuring excellent customer satisfaction. Prior to joining PEER 1, he held senior positions at IT Lab and Rackspace. Dominic has a BSc in Agricultural and Food Marketing from Newcastle and a MBA from Sheffield Business School. Dominic is also a regular public speaker on creating great places to work and achieving continuous client satisfaction and an assessor on the Sunday Times Customer Experience Awards.
",,,,
,yes,yes,yes,m,Lew,Moorman,"President, Cloud and Chief Strategy Officer",Rackspace Hosting,"President, Cloud and Chief Strategy Officer, Rackspace Hosting
",,,speaker,yes,"Lew lead Rackspace's move into cloud hosting and cloud applications in 2006 with the launch of Mosso The Rackspace Cloud, and the acquisition of webmail.us, now the backbone of Rackspace's Cloud Applications offer. Lew leads Rackspace's efforts developing new models to meet customer needs and maintain market leadership. Lew has built the cloud offers into the fastest growing piece of the business and home to 40,000+ customers. He joined the company in 2000 and has served in a variety of strategy, product and marketing roles throughout the company's growth. Before Rackspace, Lew held several positions at management consulting firm McKinsey & Company, advising high technology clients on critical strategic issues. Lew received a B.A. from Duke University and a J.D. from Stanford Law School.",,,,
,yes,yes,yes,m,Michael,Crandell,CEO and Founder,RightScale,"CEO and Founder, RightScale",19,,speaker,yes,"Michael Crandell is the CEO and a founder of RightScale, where he provides the vision and direction for the company as it pioneers innovative ways to bring the power of cloud computing to any organization. Crandell is a frequent speaker at cloud computing industry conferences, and he has played a major role in helping establish and promote openness and transparency in the cloud market. Prior to RightScale, he served as CEO at several Internet software-as-a-service (SAAS) companies and as executive vice president at eFax.com. Crandell received his B.A. from Stanford University and completed graduate studies at Harvard University.
",,,,
,yes,yes,no,M,Marc,Benioff,Chairman and CEO,Salesforce.com,"Chairman and CEO, salesforce.com",1,1,keynote,yes,"Marc Benioff founded salesforce.com in 1999 with a vision to create an on-demand information management service that would replace traditional enterprise technology. Under Benioff's direction, salesforce.com has grown from a groundbreaking idea into a publicly traded company that is the market and technology leader in on-demand business services.  Benioff is committed to using technology to produce positive social change. In 2000, he launched the Salesforce.com Foundation and established the “1/1/1 Model,” whereby 1% of the company’s profits, equity, and employee time are given back to the community. Benioff authored two books on the topic, The Business of Changing the World and Compassionate Capitalism. In 2007, the Committee Encouraging Corporate Philanthropy presented Benioff with the coveted Excellence in Corporate Philanthropy Award. ",,,,
,yes,yes,yes,m,Vishal,Sikka,CTO,SAP,"CTO, SAP",,,speaker,yes,"Dr. Vishal Sikka is the Chief Technology Officer (CTO) of SAP, leading the company's technology and innovation strategy across its product portfolio. Vishal is responsible for ensuring a clear and harmonized road map for SAP products to deliver ongoing innovation and long-term value to customers worldwide. Furthermore, Vishal leads the company's forward-thinking efforts around emerging technologies using design thinking to build SAP next generation products. He is responsible for SAP's global research efforts and is chartered with SAP's architecture governance and standards. Vishal holds a doctoral degree in computer science from Stanford University in California, and his experience includes research in automatic programming, information and application integration, and artificial intelligence at Stanford, at Xerox Labs in Palo Alto, and at two startup companies.
",,,,
,yes,yes,yes,m,Bryan,Doerr,CTO,Savvis,"CTO, Savvis",21,,speaker,yes,"Bryan Doerr is Chief Technology Officer at SAVVIS. Bryan provides technology leadership for infrastructure and product development, M&A support, and next generation platform evaluation. Before joining SAVVIS, he held positions in 
management, software technology research, and software development at Bridge Information Systems, Boeing, and the Applied Physics Laboratory. Bryan holds a Masters Degree in Electrical Engineering from Johns Hopkins University in Baltimore, Maryland and a Masters Degree in Information Management from Washington University in St. Louis, Missouri. ",,,,
,yes,yes,yes,m,Javier,Soltero,"CTO, Management Products
",SpringSource,"CTO, Management Products, SpringSource
",,,speaker,yes,"Javier Soltero is CTO of Management Products at SpringSource, the leader in Enterprise Java. Soltero was most recently co-founder and CEO of Hyperic, the leader in web infrastructure management which SpringSource acquired in 2009. Prior to co-founding Hyperic, he was chief architect at Covalent Technologies, where he led the design and implementation of multiple enterprise products. Soltero also held senior engineering positions at Netscape, where he participated in the design development of e-commerce and Internet infrastructure suites. Over the last 10 years, Soltero has been actively involved in various open source communities as both user and contributor to projects like JBoss and Tomcat. Soltero is originally from San Juan, Puerto Rico and received his BS in Information Systems and Industrial Management from Carnegie Mellon University.
",,,,
,yes,yes,yes,m,Greg,"Papadopoulos
",CTO and EVP - Research and Development,Sun Microsystems,"CTO and EVP - Research and Development, Sun Microsystems",7,,speaker,yes,"As Chief Technology Officer and Executive Vice President of Research and Development at Sun, Greg Papadopoulos directs the company's approximate $2B in R&D portfolio with an eye toward innovation, simplicity, and open development models. With more than 20 years experience in the technology industry, Papadopoulos is responsible for managing Sun's technology decisions and architecture. His team leads Sun Labs, global engineering architecture and advanced development programs. He holds a bachelor's degree in systems science from the University of California at San Diego, as well as master's and doctoral degrees in electrical engineering and computer science from MIT.
",,,,
,yes,yes,yes,m,Lew,Tucker,"VP and CTO, Cloud Computing",Sun Microsystems,"VP and CTO, Cloud Computing, Sun Microsystems",16,,speaker,yes,"Lew Tucker is Vice President and CTO of Cloud Computing at Sun Microsystems, Inc. His focus today is on the evolution of computing as it moves into the cloud, but his contributions span several waves of technology innovation over the last 20 years. Prior to re-joining Sun Microsystems, he was a Vice President at Salesforce.com where he created AppExchange, advancing the company's strategy to become the leading SaaS platform for business applications. He holds a Ph.D. in Computer Science and has a background in Artificial Intelligence, Neurobiology, and large-scale parallel algorithms.
",,,,
,yes,yes,yes,m,Renu,Raman,Executive-in-Residence,Tallwood Ventures,"Executive-in-Residence, Tallwood Ventures",,,speaker,yes,"Renu Raman has more than two decades of experience in semiconductors, computer systems and network infrastructure architecture. His focus has been delivering innovation through early adoption of disruptive trends in existing markets both consumer and infrastructure. During his tenure at Sun Microsystems spanning more than a decade, Renu was responsible for delivery of multiple generations of SPARC microprocessors starting with initial RISC designs in the 80s to leading the multi-core/multi-threaded designs at Sun in the 90s ahead of industry adoption of multi-threaded designs. After Sun, Renu was at a fabless semiconductor startup building innovative mobile imaging silicon for the camera phone market. At Tallwood, Renu  focuses on semiconductor and systems related investments. ",,,,
,yes,yes,yes,m,George,Gilbert,Co-Founder and Partner,TechAlpha,"Co-Founder and Partner, TechAlpha",35,,advisor,yes,"George Gilbert is Co-founder of TechAlpha, a consulting and research firm focused on IT infrastructure and applications. A recent report on virtualization's impact on the economics of the IT industry was cited in The Economist, BusinessWeek, and GigaOm. At TechAlpha, he has advised several top 10 software vendors on topics ranging from M&A due diligence to market requirements definition. Previously, George was the lead enterprise software analyst for Credit Suisse First Boston, where he was ranked among the top analysts in Institutional Investor, Reuters and Greenwich polls. Prior to being an analyst, George worked at Microsoft as a product manager on Windows Server. Before that, he spent 7 years at Lotus in strategic marketing as well as product management on the Notes team.",,,,
,yes,yes,yes,m,Juergen,Urbanski,Managing Director,TechAlpha,"Managing Director, TechAlpha",34,,advisor,yes,"Juergen Urbanski is Managing Director of TechAlpha, a consulting and research firm focused on IT infrastructure and applications. He recently co-authored a report on next-generation IT infrastructure which was acclaimed for breaking new ground by illustrating how server virtualization remakes the economics of data center automation, server software and storage. He is recognized as a thought leader on the future of applications and infrastructure software, including contributions to the NY Times, BBC, Red Herring, PC Magazine as well as [on his blog](http://blog.techalpha.com). At TechAlpha, he has advised several top 10 software vendors on topics ranging from M&A due diligence to market requirements definition, marketing performance optimization and SaaS go-to-market strategy. Previously, Juergen was a Director of Marketing with NetApp, where he had responsibility for growing the company’s Consulting and Integration business from $20m to over $60m in revenue. Prior, he spent 4 years with McKinsey and Company’s Silicon Valley office, where he led teams on a variety of strategy, product management and marketing topics. Juergen holds a Bachelor of Arts from the European School of Business (ESB) in Reutlingen (Germany) and a Master of Business Administration with a concentration in Finance from the Wharton School. ",,,,
,yes,yes,yes,m,Stephen,Herrod,CTO and Sr. VP of R&D,"VMware
","CTO and Sr. VP of R&D, VMware",,,speaker,yes,"Dr. Stephen Herrod is responsible for VMware’s new technologies such as mobile phone virtualization and technology collaborations with customers, partners and standards groups. Stephen joined VMware in 2001 and has led the VMware ESX group through numerous successful releases. Prior to joining VMware, he was Senior Director of Software at Transmeta Corporation co-leading development of their ""Code Morphing"" technology. Stephen holds a Ph.D. and a Master’s degree in Computer Science from Stanford University, where he worked with VMware's founders on the SimOS machine simulation project.",,,,
,yes,yes,yes,m,Matt ,Mullenweg,Founding Developer,WordPress,"Founder Developer, WordPress",,,speaker,yes,"Matt Mullenweg blogs at ma.tt. He is best known as the founding developer of WordPress, the blogging software he guided from a handful of users to the most widely used open source blog tool. In late 2005 he left CNET to found Automattic, the company behind WordPress.com, Akismet.com, and Gravatar. In his spare time he enjoys taking photographs and playing jazz.",,,,
,yes,yes,yes,m,Raj,Patel,"VP, Infrastructure and Operations Strategy",Yahoo!,"VP, Infrastructure and Operations Strategy, Yahoo!",5,,speaker,yes,"Raj Patel is the Vice President of Infrastructure and Operations Strategy for Yahoo!. He is responsible for architecture, strategy and operations for Yahoo's production and corporate technology infrastructure. Under his direction, Yahoo!’s technology infrastructure has scaled to support hundreds of millions of users and corporate applications with a highly available and high performance network optimized for content and application distribution. He has also been instrumental in defining Yahoo!’s data center and content delivery network (CDN) strategies. Previously, he was vice president of network services for Exodus Communications, and before that, general manager for advanced technology operations for SBC Communications. Raj holds a Masters in Business Administration from University of Southern California and a Bachelors of Science in Electrical Engineering from California State University.
",,,,
,yes,yes,yes,m,Doug,Judd,"Principal Search Architect
",Zvents,"Principal Search Architect, Zvents
",23,,speaker,yes,"Doug has over a decade of software engineering experience in the area of distributed computing and information retrieval. He joined Inktomi's Web Search division in 1997 where he held both engineering and management positions. During his five year tenure, he designed and developed large-scale distributed systems, including significant pieces of the crawling and indexing software. Doug later joined Kosmix, Inc., where he built a distributed web crawler and scaled it to a billion documents. Doug currently holds the position of Principal Search Architect at Zvents, Inc., a local search engine. Doug earned a B.S. in Computer Science from U.C. Santa Barbara in 1992 and holds four patents in search technology.
",,,,
