Publish?,Filled out Fulfillment Form,List On Front Page?,Photo Ready?,Gender,Prefix,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type,Bio Ready?,Biography,timestamp
Yes,y,Yes,Yes,m,,Padmasree,Warrior,Chief Technology Officer,Cisco,Chief Technology Officer,,,speaker,y,"Padmasree Warrior is Cisco's Chief Technology Officer. As CTO, she is responsible for helping drive the company's technological innovations and strategy, and works closely with its senior executive team and board of directors to align these efforts with Cisco's corporate goals. As an evangelist for what's possible, she pushes the organization to stretch beyond its current capabilities - not just in technology, but also in its strategic partnerships and new business models. Warrior joined Cisco in 2007. Prior to that, she was the CTO at Motorola, where she led a team of 26,000 engineers and directed Motorola Labs, with an annual R&amp;D budget of $3.7 billion.",1250609773
Yes,y,Yes,Yes,m,,Paran,Johar,CMO,JumpTap,CMO,,,speaker,y,"Paran Johar is JumpTap’s Chief Marketing Officer. Before joining JumpTap, Mr. Johar was EVP of Digital Marketing for North America and Managing Director of MRM's Los Angeles office. Mr. Johar’s responsibilities included overseeing all operations of the LA office and all digital marketing in North America including online media, search marketing, and mobile marketing. Prior to MRM, Mr. Johar was GM of the Los Angeles office for Tribal DDB where he was responsible for all online media, SEM, and SEO activities. Under his leadership, the Los Angeles office grew from $0 to over $80MM in annual billings. His client roster has spanned a broad range of work with media &amp; brands including Universal Pictures, Paramount Pictures, Wells Fargo, Abbott Labs, Microsoft, GM, Toyota, and KFC.",1247508064
Yes,y,Yes,Yes,f,,Rachel,Hinman,Mobile Design Strategist,Adaptive Path,Mobile Design Strategist,,,speaker,y,"Rachel Hinman is a mobile design strategist for Adaptive Path. She is a strong believer in approaching mobile design from an empathic, human-centered perspective. Rachel's passion for people, design, and the belief that people can use technology to improve their lives has been the driving force of her career for over a decade. Prior to joining Adaptive Path, Rachel worked within Yahoo!'s mobile group, employing user-centered methods to inform the design and strategy of Yahoo!'s mobile products. Much of her work-to-date has focused on improving the experience of accessing internet content on a mobile device. Rachel writes and speaks frequently on the topic of mobile research and design and explore ideas about mobile user experience daily through her blog project, 90 Mobiles in 90 Days.",1250114491
Yes,y,Yes,Yes,m,,Ramakrishnan,R,"Founder, Director",Next Billion Network @ MIT,"Founder, Director, Next Billion Network @ MIT",,,speaker,y,"Jhonatan Rotberg is the founder and director of the Next Billion Network program at MIT, and the instructor of MIT's NextLab course series. He is the Telmex Researcher at the MIT Media Lab and a Lecturer in the Media Arts and Sciences Program. A serial entrepreneur, he is experienced in the original conception and deployment of innovation, applications and content in developing countries, and in building organizations based on digital technologies. During his career, he has founded and sold various startups in the financial and high-tech sectors. His current focus is on designing innovative mobile technologies that help people reduce friction in their local markets from the bottom up, and on incubating ventures that allow them to scale and become sustainable in the emerging markets.",1244051309
Yes,y,Yes,Yes,m,,Rani,Cohen,Co-founder Chairman and CEO,TuneWiki Inc.,Co-founder Chairman and CEO,,,speaker,y,"Rani has been involved in numerous technology companies in Israel and the United States. Rani is founder and Chairman of Magnolia Capital Partners, a best of breed financial institution that represents global investment banks in Israel. He previously served as the President and CEO of HyperRoll, a software company (backed by Sequoia Capital, Greylock and Bessemer), and as Founder, Chairman, of Transparency Software (backed by Pitango and Lightspeed). He was formerly Managing Director of Mofet Venture Capital and Aurum-SBC Ventures. Rani held executive management positions at Nexus Telecommunications (EVP Sales and Business Development) and BVR Technologies. Rani served as a fighter pilot in the Israeli Air Force. He holds a B.Sc. in mathematics and computer science from the Hebrew University and MBA from Yale University.",1251393083
Yes,y,Yes,Yes,m,,Raven,Zachary,"Research Director, Open Source",The 451 Group,"Research Director, Open Source",,,speaker,y,"Raven Zachary is a Contributing Analyst with The 451 Group, an IT industry analyst company, where he covers open source and mobile technology. He also advises companies on the creation, development, and launch of iPhone products through his iPhone consultancy, raven.me. Raven is the founder of iPhoneDevCamp, a not-for-proﬁt iPhone developer conference and is the Program Co-Chair for the upcoming O’Reilly Media conference - iPhone Live. He is regularly quoted by the press and is a frequent conference speaker about the iPhone and related topics. Raven’s iPhone projects can be viewed at www.raven.me.",1245352068
Yes,y,Yes,Yes,m,,Rich,Miner,"Group Manager, Mobile Platforms",Google,"Group Manager, Mobile Platforms",,,speaker,y,"Rich is currently group manager of mobile platforms for Google, helping to build the Android platform. Rich has been with Google since the company's acquisition of Android, a mobile software platforms company he co-founded. Prior to Android, Rich was vice president of advanced services at Orange, where he headed the group's R&amp;D activities in North America. He came to Orange through the acquisition of another company he co-founded, Wildfire. Rich held various positions at Wildfire, including CTO and MD for Europe. Rich received his Ph.D. in computer science from the University of Massachusetts at Lowell, where he was co-director of the Interactive Media Group and led research projects with companies such as Hewlett-Packard, Apollo, IBM, and NYNEX.",1248903719
Yes,y,Yes,Yes,m,,Richard,Wong,Partner,Accel Partners,Partner,,,speaker,y,"Richard joined Accel in 2006, with a focus on mobile services and enterprise software. Rich currently serves on the board of AdMob, the largest mobile advertising player and Parature, a leader in SaaS based customer support. Rich also works closely with the team of Getjar, the largest mobile development community and free mobile apps portal. Prior to Accel, Rich was SVP/GM of Products at Openwave. While at Openwave, Rich founded and chaired the Messaging Anti-Abuse Working Group, a consortium of ISPs and technology providers working together to combat internet abuse. Previously Rich was EVP/GM at Covad Communications. Preceding Covad, he was a consultant for McKinsey &amp; Company. Rich started his career as a Brand Manager at Procter &amp; Gamble.",
Yes,y,Yes,Yes,m,,Rick,Robinson,"VP, Products and Services",XOHM,"VP, Products and Services",,,speaker,y,"Rick Robinson broke into the online world in ‘92 as a writer for BBS Magazine, then running it as Editor-in-Chief. In ‘96 he helped launch AOL’s Digital City, creating personality-driven blogging sites; community publishing tools; live online polling; controversy-driven local programming. Later he led operations for the network and pioneered what he calls “geobrowsing.” He help found AOL Wireless in ‘00 as VP, launching content and community apps on wireless carriers, and partnering with movie studios providing WAP and SMS marketing. In ‘02, Robinson took over AOL Community Products bringing dramatic updates to scores of products, including the launch of Blogs. Robinson left AOL in ‘05 for startup Freewebs.com where he led product and programming. Today Robinson is VP of Products and Services for XOHM.",1244680875
Yes,y,Yes,Yes,m,,Rick,Segal,Partner,JLA Ventures,Partner,,,speaker,y,"Prior to joining JLA Ventures, Mr. Segal was President and Chief Executive Officer of Microforum, a leader in providing integrated e-business solutions in an array of industry verticals. Mr. Segal joined Microforum in July 2000 from Chapters Online Inc., a leading Canadian e-commerce company, where he held the position of President and Chief Operating Officer (1997-2000). Mr. Segal began working with Chapters Inc. in 1997 as a consultant on the technical development of the Chapters e-commerce venture. For this successful collaboration, he was named the President of Chapters Online in August 1998. Mr. Segal is also the author of four books on Network Management and Windows software development. Mr. Segal serves as a director of Paymentus, Planeteye, HealthUnity, b5media, MusicIP Corporation, and Truition Marketplace Solutions.",manual
Yes,y,Yes,Yes,m,,Ross,Mayfield,"Chairman, President and Co-Founder",Socialtext,"Chairman, President and Co-Founder",,,speaker,y,"Mayfield is the Chairman, President and co-founder of Socialtext, the first wiki company and leading provider of Enterprise 2.0 solutions. A noted blogger and industry expert, he is a serial and social entrepreneur. Mayfield has grown Socialtext to over 4,000 customers and served as CEO from 2002-2007. Socialtext is backed by Draper Fisher Jurvetson, SAP Ventures, Intel Capital and Omidyar Network and prominent Silicon Valley angels. Previously, Mayfield served as VP of Marketing for a Fujitsu spinout and CEO of an enterprise risk management software company. Mayfield co-founded and served as president of RateXchange (AMEX:RTX), the leading B2B commodity exchange for telecom. Mayfield served as the marketing director of the largest privately held telecommunications group in Eastern Europe and was the internal lead manager of their Initial Public Offering. He also founded an ISP, a web-design company, and has served on a number of Advisory Boards of high tech startups.",1243967637
Yes,y,Yes,Yes,m,,Russ,McGuire,"VP, Corporate Strategy",Sprint,"VP, Corporate Strategy",,,speaker,y,"Russ McGuire is a leading strategist and visionary in the telecom industry. As vice president of corporate strategy for Sprint, he is responsible for developing the strategic vision and strategic framework for the $40B+ telecommunications giant. Mr. McGuire is also the author of The Power of Mobility, a book about how businesses can prosper in the next technology revolution, published by John Wiley &amp; Sons. His daily weblog on these topics can be read at www.mcguireslaw.com. His experience includes 20 years in the telecom industry plus experience in the defense and nuclear power industries. Prior to joining Sprint, Russ was Chief Strategy Officer for TeleChoice, a leading business strategy consultancy solely focused on innovative telecom market opportunities.",1250617972
Yes,y,Yes,Yes,m,,Ryan,Block,Co-founder,gdgt,Co-founder,,,speaker,y,"Ryan Block is the co-founder of gdgt, a forthcoming consumer electronics site, and editor-at-large of Engadget, a web magazine focused on obsessive coverage of consumer electronics and technology. As a technology critic and commentator, he has been quoted by such publications as the BBC, Business Week, The Chicago Tribune, The New York Times, The Guardian, The Times, and The Wall Street Journal. Ryan maintains an active personal blog and online presence.",1250718501
Yes,y,Yes,Yes,m,,Sanjay,Vakil,Founder,"LuckyCal, Inc.",Founder,,,speaker,y,"Sanjay Vakil is the founder and leader of LuckyCal. Previously, he cofounded PatientKeeper (http://patientkeeper.com), a venture-backed company making medical information available securely on multiple handheld devices and via the web. While founding Patientkeeper, Sanjay was completed his doctorate (on aircraft cockpit displays) at MIT. During his undergrad years at MIT, Sanjay helped run 6.270, the LEGO robotics class and had a five year run as a radio show host at WMBR. After PatientKeeper, Sanjay joined AmbientDevices, where he was responsible for the AmbientClock (http://ambientclock.com), which planted the seeds for LuckyCal, along with other products. LuckyCal is Sanjay's third startup as a founder.",1248126710
Yes,y,Yes,Yes,m,,Scott,Raney,Partner,Redpoint Ventures,Partner,,,speaker,y,"Scott Raney is a Partner with Redpoint Ventures focusing on infrastructure and software investments in the enterprise, wireless, and consumer segments. Scott serves on the board of directors of adap.tv, JumpTap, mig33 and LetsTalk, and is involved with Redpoint's investments in Gaia Online, Sparkplay, Rebel Monkey and Scribd.  Prior to joining Redpoint, Scott served as Senior Manager of New Products with NorthPoint Communications, a data CLEC providing nationwide DSL services. Scott managed NorthPoint's first consumer product and led product development of other new products. Prior to NorthPoint, Scott worked as a management consultant at Bain &amp; Company, where he helped clients in the private equity and telecommunications industries. Previously, Scott was the Director of Engineering for VideoPort Technologies, a developer of videoconferencing hardware.",1247759909
Yes,y,Yes,Yes,m,,Scott,Richardson,Chief Strategy Officer,Clearwire,Chief Strategy Officer,,,speaker,y,"As chief strategy officer, Scott Richardson is responsible for driving Clearwire’s mobile wireless broadband efforts, mobile WiMAX strategy, and technology investments. During two decades in the wireless and chip industries, Mr. Richardson has worked with key industry leaders to define and shape WiMAX standards to deliver next-generation wireless broadband networks around the world. Prior to joining Clearwire in January 2007, Richardson spent 20 years at Intel in a variety of key management roles, most recently leading Intel’s broadband wireless business. Previously he served as vice president of Intel’s Mobility Group and general manager of the company’s Service Provider Business Group, where he was responsible for creating the IEEE 802.16 standard and delivering the company’s silicon products for WiMAX Certified wireless equipment and access devices.",1247267144
Yes,y,Yes,Yes,m,,Sean,Varah,CEO,MotionDSP,CEO,,,speaker,y,"Sean Varah is CEO of MotionDSP, a San Mateo-based startup that sells software that dramatically reconstructs video from mobile phones, digital cameras, and security cameras. MotionDSP offers its multi-frame video enhancement in software products for video forensics, and a consumer web service, www.fixmymovie.com. Sean has worked in both venture capital and as an entrepreneur. He was co-founder and COO of Q Media Partners, a San Francisco-based television development companny, and as Director of consumer technology investments at Sony Music’s 550 Digital Media Ventures, he sourced and led the Series A investment in Keyhole Inc., which was acquired by Google in 2004 and is now Google Earth. Dr. Varah received a bachelor’s degree from Stanford University and a doctorate from Columbia University.",1248215335
Yes,y,Yes,Yes,m,,Sebastian,Rupley,Editorial Director,PCMagCast,Editorial Director,,,speaker,y,"Rupley is Editorial Director for PCMagCast, PC Magazine's channel for live Web seminars and online events on tech topics for consumers and small businesses. Previously, he was West Coast Editor of PC Magazine for over a decade, where he oversaw news and feature stories for the publication, and represented the brand on panels and at conferences on the West Coast. He also served as Features Editor of PC/Computing magazine, managing and promoting many noted technology journalists. A familiar face to leaders at technology companies, Sebastian has won numerous national journalism awards. He wrote Portable Computing, one of the first titles ever to appear about laptop computers and mobile technology, and serves as co-host with John C. Dvorak of Ziff-Davis Media's popular IPTV show Cranky Geeks.",1246977872
Yes,y,Yes,Yes,m,,Shai,Berger,Co-founder and Chief Executive Officer,Fonolo,Co-founder and Chief Executive Officer,,,speaker,y,"Shai Berger is co-founder and CEO of Fonolo. Berger was previously at Keynote Systems, where he led the team responsible for Streaming Perspective, the industry standard for measuring the performance of online video. Berger led the team for Streaming Perspective precursor Streamcheck from its launch through its acquisition by Keynote. Today some of the world’s largest media companies (including AOL, Akamai, BBC, CNN, and CBS) use Streaming Perspective to ensure content reaches their audiences. Early in his career, Berger was involved in fiber optics research where he worked on some of the earliest optical networking devices. Berger has a degree in engineering physics from Queen’s University (Kingston, Ont.) and a master’s degree in applied science from the University of Toronto.",1248303053
Yes,y,Yes,Yes,m,,Steve,Lee,Senior Product Manager,Google,Senior Product Manager,,,speaker,y,"Steve Lee is a Senior Product Manager with global responsibility for Google's mobile Geo effort, including Google Maps and location-based services. He has 14 years of industry experience ranging from entrepreneurship to software development to product management. Past companies include IBM, Yahoo and 2 startup endeavors NewMonics and Verdada. He has an MBA from UC Berkeley Haas and a double major in Computer Engineering and Computer Science from Iowa State University. He has also been known to play poker.",manual
Yes,y,Yes,Yes,m,,Ted,Morgan,Chief Executive Officer,SKYHOOK Wireless,Chief Executive Officer,,,speaker,y,"Ted Morgan co-founded Skyhook Wireless in 2003 to capitalize on the increasing demand for location-based services. Prior to founding Skyhook, Mr. Morgan was the VP of Marketing for edocs Inc., a provider of customer self-service solutions that was sold to Siebel Systems in January 2005 and worked in Product Management for Open Market, one of the early leaders of the e-commerce revolution. Prior to the technology industry, he spent four years in financial services. Mr. Morgan holds an undergraduate degree in mathematics from Georgetown University and an MBA from the University of Chicago.",manual
Yes,y,Yes,Yes,m,,Tim,Chang,Principal,Norwest Venture Partners,Principal,,,speaker,y,"Tim brings a combination of operational, technical and international business experience to Norwest Venture Partners. Tim focuses on investments in wireless and digital media as well as business development initiatives in Asia-Pacific. Tim has recently invested in and joined the board of directors of 3Jam and Lumos Labs. Tim also works with the boards of deCarta and Double Fusion. Prior to joining NVP in 2006, Tim was a principal at Gabriel Venture Partners where he was actively involved in over a dozen wireless-related deals. Tim built Gabriel's wireless sector practice and helped establish business development capabilities through strong, strategic relationships across the wireless value chain, particularly in Asia-Pacific. For a complete biography of Tim, please visit www.nvp.com.",manual
Yes,y,Yes,Yes,f,,Venetia,Espinoza,"Director, Mobile Applications and Partner Programs",T-Mobile,"Director, Mobile Applications and Partner Programs",,,speaker,y,"Venetia Espinoza leads the Mobile Applications and Partner Program at T-Mobile USA. Espinoza represents the strategy behind the application developer ecosystem that will create a successful environment for mobile application developers. She is currently pioneering a unique, open approach to help foster the growth of compelling content and services for customers. Espinoza manages T-Mobile’s Direct-to-Consumer business as well as T-Mobile’s third-party applications throughout their lifecycles, including application selection, enablement, go-to-market and retention. Espinoza has more than 10 years of experience in the wireless industry, focusing on business development and product management in wireless data and wireless internet applications. She has served as senior director of business development for Nextel Wireless Internet Services and started her career with GTE International, helping launch wireless services in Venezuela.",1250903410
Yes,y,Yes,Yes,m,,Victor,Brilon,"Senior Manager for Technology Collaboration, NSeries",Nokia,"Senior Manager for Technology Collaboration, NSeries",,,speaker,y,"Victor Brilon is a Senior Manager working in the NSeries device organization in Nokia. He is responsible for strategic technology collaborative efforts with Nseries devices with external partners. Victor has over 15 years of experience in working with emerging technologies, including wireless applications and Open Source software. Previous to Nokia, he was an entrepreneur and the co-founder of the largest wireless developer Web property. Earlier, Victor was a Senior Consultant Systems Engineer at EDS, where he led an engineering team in developing innovative Internet-based technologies and practices.",
