FF,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp,P Facebook,P Twitter,P LinkedIn
,y,,y,m,Ken,Miller,"Vice President, Strategic Risk Services",Intuit,"Vice President, Strategic Risk Services, Intuit",,,speaker,y,"Ken Miller is the vice president of strategic risk services at Intuit,  Inc. and a key senior staff member of the Intuit Payment Solutions division. In this role, he develops and manages the strategic risk architecture, and is a principal contributor to the overall payments strategy for Intuit's Small Business Group. Within payments, Miller heads the pricing management and strategy and leads the development, launch and management of funding capabilities and strategy. Previously, Miller was the CEO and co-founder of Anchor Intelligence, a start-up business built to optimize the performance of online advertising. As CEO, Miller was integral in completing multiple fundraising rounds with investors to establish a working capital for the company. Miller also served as the Vice President of Risk Management at PayPal, where he was responsible for setting the overall company risk management strategy, implementation of risk policy work and decisions, management of risk analytics efforts around fraud model development and maintenance, and administration of comprehensive loss reporting and forecasting efforts. Miller is a recognized risk expert and has a Series 5 investment license.",,,,
y,y,y,y,m,Matt,Murphy,Partner,KPCB,"Partner, KPCB",,,speaker,y,"Partner at Kleiner Perkins Caufield & Byers; he joined in 1999. He manages the iFund at KPCB, a collaborative initiative with Apple focused on funding and building defining applications on the iOS platform and the mobile internet. His expertise is in both mobile solutions and cloud infrastructure technology. Matt is either a Director or works closely with the management teams of Booyah!, GOGII, session M, Shazam, shopkick, WorkSmart Labs, RGB, Stoke, Aerohive Networks, Apperian, Egnyte, and Puppet Labs. Previously, Matt was a board observer at Google (from initial investment to IPO), led KP's investment in Autonavi and was a Director at Pelago (acquired by Groupon), Ocarina Networks (acquired by Dell), Dash Navigation (acquired by RIM), and Peakstream (acquired by Google). ",,,@mmurph,
y,y,y,y,m,Marc,Naddell,"VP, Partnering",NAVTEQ,"VP, Partnering, NAVTEQ",8,,speaker,y,"Marc has created industry leading business development programs that attract technology partners and application developers for Motorola, Nokia and NAVTEQ. He has managed consumer and enterprise device portfolios, and created system, solution and feature offerings for wireless devices and networks. He is an accomplished marketer with global experience, and an inventor with 20 patent awards related to both wireless and software based innovations. He has his MBA from the University of Chicago, and speaks several languages.",,,@chagall888,
y,y,y,y,m,Mok,Oh,Chief Scientist,PayPal ,"Chief Scientist, PayPal ",,,speaker,y,"As Chief Scientist, Mok Oh contributes to PayPal’s ongoing product innovation through the collection and analysis of a range of customer insights.  For well over a decade, he has been involved in researching and building technologies, products and businesses that help connect the offline and online worlds.  Mok comes to PayPal from WHERE, Inc., which was acquired by eBay, Inc. in April 2011.  As WHERE’s Chief Innovation Officer, Mok oversaw the development of the “Atlas Project,” which aims to better digitize the real (offline) world, better connecting it to the online world, and ultimately making the commerce ecosystem better as a result. Prior to WHERE, Mok founded, a data visualization company called Everyscape that generated revenue streams from various markets: travel, local search, mobile. He’s played a multitude of roles throughout his career ranging from including data architecture and product management to intellectual property strategies and business development. Prior to founding EveryScape, he worked for Accenture as an Information Systems Analyst. Mok holds a Ph.D. in Computer Graphics from MIT, a M.S. in Computer Science from University of Pennsylvania, and Computer Science, Art History and Studio Art degrees fromOberlin College. Mok is a seasoned speaker who has appeared at the MIT Lecture Series, Harvard School of Architecture, O’Reilly Where 2.0 Conference, Web 2.0 Summit, DEMO Conference (DEMOgod Winner).",,,@mok_oh,http://linkedin.com/in/mokoh
y,y,y,y,f,Julie,Palen,"SVP, Strategic Business Development and Mobile Device Management",Tangoe,"SVP, Strategic Business Dev and Mobile Device Management, Tangoe",12,,speaker,y,"Prior to its merger with Tangoe in 2008, Julie was president and CEO of InterNoded, Inc. With more than eighteen years’ experience in the technology industry and a decade of experience in wireless consulting, development and management, Julie lead an executive team that drove strategic partnerships with RIM, Nokia, Good, Microsoft, IBM, Cingular, Sprint and Verizon Wireless. In addition, she drove new business development opportunities with potential strategic partnerships with Fortune 500. Prior to founding InterNoded in 1993, Julie was a business systems analyst at Lotus Development Corporation. Julie has been honored as one of the leading women entrepreneurs in the world and was recognized as having one of the top 100 women-led businesses in Massachusetts.",,,@tangoe,http://www.linkedin.com/pub/julie-palen/1/1b/652
y,y,y,y,m,Jim,Parsons,"Managing Director, Sr. Relationship Manager",Silicon Valley Bank,"Managing Director, Sr. Relationship Manager, Silicon Valley Bank",,,speaker,y,"Jim Parsons is a Senior Relationship Manager and Managing Director for Silicon Valley Bank. He is responsible for managing the bank’s portfolio of software clients and for business development in the Western Division -- originating, structuring, and underwriting investments in growth stage technology companies, including the full suite of banking services. Prior to joining SVB, Parsons was Managing Director and Senior Vice President at Horizon Technology Finance, a specialty venture debt firm. He opened Horizon's Western Regional Office, and built an investment team and a portfolio of commercial loans to early and mid-stage technology companies. His business development work included establishing Horizon's presence in Silicon Valley, Southern California, Washington state, Colorado, and Texas. Previous to Horizon, Parsons served as Vice President at GATX Capital/GATX Ventures (where the Horizon team originated) for 13 years. He was responsible for business development in Silicon Valley, the Pacific Northwest, and Texas. Parsons' other experience at GATX includes financial analysis and structuring of various asset-backed loans, leases, and joint venture investments. Parsons earned a Masters in Business Administration from The University of Michigan, and a Bachelor of Science degree in engineering from the University of California, Berkeley.",,,,
y,y,y,y,m,Eli,Portnoy,CEO,ThinkNear,"CEO, ThinkNear",,,speaker,y,"Eli Portnoy is the founder and CEO of ThinkNear, a mobile marketing and yield management solution for local merchants. He was most recently a Senior Product Manager at Amazon where he helped develop, market and grow the Amazon Video On-Demand service. Eli was also the founder and CEO of HireWorkers and was named one of the Top Young Entrepreneurs by BusinessWeek, the 21st Coolest Young Entrepreneur by Inc. magazine, and a Top Entrepreneur Under 30 by NY Daily News. Eli earned a bachelor's degree in international relations and political science from the University of Pennsylvania, and an MBA from Harvard Business School.",,,@eportnoy,http://www.linkedin.com/in/eliportnoy
,y,,y,m,Josh,Quitnner,Editorial Director,Flipboard,"Editorial Director, Flipboard",,,speaker,,,,,,
y,y,y,y,m,Keith ,Rabois,COO,Square,"COO, Square",,,speaker,y,"Keith Rabois is Chief Operating Officer at Square where he oversees the company's business operations including marketing, communications, business development, distribution, human resources and risk management. Keith specializes in transforming early-stage startups into successful businesses and has deep expertise in the financial services industry and government affairs. An accomplished executive, entrepreneur and angel investor, Keith has held leadership roles at PayPal, LinkedIn, Slide and began his career practicing law at Sullivan & Cromwell. Keith was an early investor in several high-profile Internet companies including YouTube and currently serves on the board of directors of Yelp and Xoom. Keith holds a JD from Harvard Law School and an undergraduate degree in political science from Stanford University.",,,@rabois,
y,y,y,y,m,David,Rose,CEO,Vitality,"CEO, Vitality",,,speaker,y,"David Rose is a product designer, technology visionary, and serial entrepreneur. Currently David is Chief Executive Officer at Vitality, a company reinventing medication packaging with wireless technology. Rose founded and was CEO of Ambient Devices where he pioneered glanceable technology: embedding Internet information in everyday objects like light bulbs, mirrors, refrigerator doors, digital post-it notes, and umbrellas to make the physical environment an interface to digital information. In 1997 Rose patented online photo sharing and founded Opholio. He founded Interactive Factory, which creates interactive museum exhibits, educational software and smart toys, including the award-winning LEGO Mindstorms Robotic Invention System. Rose teaches a popular course on tangible user interfaces at the MIT Media Lab and blogs on connected health at www.roseology.com.",,https://www.facebook.com/davidlrose,@davidrose,http://www.linkedin.com/profile/view?id=14528&authType=name&authToken=SFTi
y,y,y,y,m,Olof,Schybergson ,CEO,Fjord,"CEO, Fjord",,,speaker,y,"Olof is one of the digital design industry’s top innovators, highly regarded by major players in the web, mobile and interactive spaces alike. In 2001, he was one of the founders of Fjord, aiming to create a company that would ‘define digital’ and lead the way in the growth of the digital space. In the decade since then, Olof’s leadership has kept Fjord at the forefront of digital design worldwide, continuing to set the pace in user-experience and digital service design. Olof is a well-respected trend spotter in the online and mobile environments, and Fjord's annual digital trend updates are well-known for insight, clarity and accuracy. He is much in demand as a conference speaker and workshop leader.",,,@olof_s,http://www.linkedin.com/in/olofschybergson
y,y,y,y,m,Chetan,Sharma,President,GigaOM Pro,"President, Chetan Sharma Consulting and Analyst, GigaOM Pro",,,speaker,y,"Chetan Sharma is President of Chetan Sharma Consulting and is one of the leading strategists in the mobile industry. Executives from wireless companies around the world seek his accurate predictions, independent insights, and actionable recommendations. He has served as an advisor to senior executive management of several Fortune 100 companies in the wireless space and is probably the only industry strategist who has advised each of the top 6 global mobile data operators. Some of his clients include NTT DoCoMo, Disney, KTF, China Mobile, Toyota, Comcast, Motorola, FedEx, Sony, Samsung, Alcatel Lucent, KDDI, Virgin Mobile, Sprint Nextel, Skype, AT&T Wireless, Reuters, Juniper, Qualcomm, Nissan, Amdocs, Comverse, Reliance Infocomm, SAP, Merrill Lynch, Microsoft, American Express, and Hewlett-Packard. ",,http://www.facebook.com/chetansharma,@chetansharma,http://www.linkedin.com/in/chetansharma
y,y,y,y,m,Jack,Sheridan,Partner,Wilson Sonsini Goodrich & Rosati,"Partner, Wilson Sonsini Goodrich & Rosati",,,speaker,y,"Jack Sheridan is a partner at Wilson Sonsini Goodrich & Rosati, where he has practiced corporate and securities law for more than 20 years. He serves as the leader of the firm's business law department and is also a certified public accountant in the state of California. Jack focuses on the corporate legal needs of public and private companies primarily in the technology, life sciences, and retail consumer sectors. He is currently involved in the representation of numerous public companies and more than 75 venture-backed private companies. In addition to addressing the corporate governance, intellectual property, and other day-to-day needs of these companies, Jack specializes in sophisticated corporate transactions including public offerings, mergers and acquisitions, and venture financing transactions.",,,,
y,y,y,y,m,Wim ,Sweldens ,"President, Wireless Division",Alcatel-Lucent,"President, Wireless Division, Alcatel-Lucent",,,speaker,y,"Wim is President of Alcatel-Lucent’s Wireless Division and has responsibility for the company's Radio Access Product lines, spanning 2G, 3G and 4G, including the award winning lightRadio ™ product portfolio. Previously, Wim was Vice President of Network Technology and Alcatel-Lucent Ventures within Bell Labs. In his role as VP of Network Technology, Wim led a cross company team which took the company’s Applications Enablement strategy from paper to practice. Prior to Alcatel-Lucent Ventures, Wim served as Vice President of Computing Sciences Research at Bell Labs as well as led Bell Labs China. ",,,@Alcatel_Lucent,
,y,,y,m,Kevin,Systrom,CEO,Instagram,"CEO, Instagram",,,speaker,y,"Kevin graduated from Stanford University in 2006 with a BS in Management Science & Engineering—he got his first taste of the startup world when he was an intern at Odeo that later became Twitter. He spent two years at Google—the first of which was working on Gmail, Google Reader, and other products and the latter where he worked on the Corporate Development team. Kevin has always had a passion for social products that enable people to communicate more easily, and combined with his passion for photography Instagram is a natural fit.",,,,
y,y,y,y,m,Dave,Talach,"VP, Global Product Management",VeriFone,"VP, Global Product Management, VeriFone",15,,speaker,y,"Dave joined VeriFone in 2004, with a specific focus on energizing VeriFone’s Wireless Product Line. Over that time his responsibility has expanded to include VeriFone’s Global Product Management Organization, Global Product Roadmap & Strategy. Under Talach's mangement, the Global Product Management team is responsible for defining, designing, and delivering customer centric solutions to the market; this includes creating and indentifying global payment trends in the 110+ countries VeriFone products are sold into. Before joining VeriFone, he was an early employee at Research In Motion, and witnessed first-hand the evolution of the BlackBerry smart-phone. His responsibility at that time included licensing wireless technology to Payment Providers. Mr. Talach is a Proud Canadian, who currently resides in San Francisco.",,,@dtalach,http://www.linkedin.com/in/davidtalach
,y,y,y,m,Iyad,Tarazi,"VP, Network Development",Sprint,"VP, Network Development, Sprint",,,speaker,y,"Iyad Tarazi, Vice President of Network Development & Engineering, is responsible for the development and integration of new products and technologies within Sprint’s wireless and wire line networks and for the engineering of the RF and core networks. He is also responsible for managing Sprint Nextel’s technology Integration labs. Iyad oversees an operating budget of $500M and a capital budget of approximately $1.5B. Iyad has been with Sprint Nextel since 1998. Iyad is an avid runner and for the past several years he has finished the Marine Corps Marathon in Washington DC in addition to many other races. While he appreciates golf and strives to get better, his golf game is best described as a work in progress.",,,,
y,y,y,y,m,Bob,Tinker,CEO,MobileIron,"CEO, MobileIron",,,speaker,y,"Before MobileIron, Bob led the Business Development team for Cisco’s wireless business units, a combined $1B business. As a member of the executive staff, he was responsible for driving long term revenue growth and expanding Cisco’s wireless initiatives to laptops and smartphones. Before Cisco, Bob was the first business executive at enterprise wireless pioneer Airespace, where he was Vice President of Business Development. Cisco acquired Airespace in 2005. Bob’s previous roles include Director of Marketing at Vertical Networks and Vice President at NationsBank, with oversight of IT, sales, product management, and operations. Bob has a BS in Systems Engineering from the University of Virginia and an MBA from Stanford.",,,,
y,y,y,y,m,Kevin,Tofel,Mobile Editor and Staff Writer,GigaOM,"Mobile Editor and Staff Writer, GigaOM",,,speaker,y,"Kevin Tofel has 15 years of hands-on I.T. experience at Fortune 100 companies and 5 years of writing, blogging and podcasting behind him. In 2005, he built a team of bloggers for AOL to cover the growing HDTV space. The small startup site eventually became the popular destination of EngadgetHD. Returning to his passion of mobile technology, Kevin joined jkOnTheRun in 2006, where he has blogged extensively about netbooks, notebooks, smartphones, cloud services and Ultra Mobile PCs. Outside of the web world, Kevin’s print writing has appeared in The New York Times, Smartphone & Pocket PC Magazine, PC Magazine and PC World.",,,,
y,y,y,y,m,Erick ,Tseng,Head of Mobile Products,Facebook,"Head of Mobile Products, Facebook",2,,speaker,y,"Erick joined Facebook in May 2010 as the company’s Head of Mobile Products. Previously, he had worked at Google for 4 years, where he helped launch and grow Android as it's Lead Product Manager. Before joining Google, Erick was an Associate at McKinsey & Company, a management consulting firm. He has also held various product management and engineering positions at Microsoft, Yahoo!, and the MIT Media Lab. Erick received Bachelors and Masters degrees in Computer Science & Electrical Engineering from MIT, as well as an MBA from the Stanford Graduate School of Business, where he graduated with top honors as an Arjay Miller Scholar.",,,,
y,y,y,y,m,Timothy,Twerdahl,"VP, Product",WIMM Labs,"VP, Product, WIMM Labs",,,speaker,y,"Tim is a consumer electronics veteran, with a track record of delivering critically acclaimed and commercially successful products. At WIMM Labs, Tim leads the marketing, product management, and user experience teams. Tim joined WIMM Labs from Roku where he was Vice President in charge of marketing and product management. Prior to Roku, Tim led product management for Netflix's Internet TV initiative. Tim has also held senior product management and marketing positions at Motorola, Palm and Time Warner. Tim earned a master’s degree from the Kellogg School at Northwestern University and a bachelor's degree from Hamilton College. Tim holds fourteen patents for consumer electronics products. ",,,,
y,y,y,y,m,Ville,Vesterinen,Co-Founder and CEO,Grey Area,"Co-Founder and CEO, Grey Area",,,speaker,y,"Ville is the CEO and co-founder of Grey Area, the maker of Shadow Cities. Shadow Cities – a location based MMORPG for iOS – has became a category defining game tittle since it was released globally in 2011. New York Times' Seth Schiesel called Shadow Cities the most interesting, innovative, provocative and far-reaching video game in the world right now, on any system. Before Grey Area Ville co-founded ArcticStartup, the leading Nordic and Baltic tech media.",,,@vesterinen,http://fi.linkedin.com/in/villevesterinen
y,y,y,y,m,Tom,Wang,Head of Product,Formspring,"Head of Product, Formspring",,,speaker,y,"Tom Wang is an experienced consumer Internet product specialist. At Formspring, Tom shapes the company's product strategy as it grows its global audience of tens of millions of users. Most recently, Tom was working in Nokia's Social Experience group, following its acquisition of Plum. At Plum, Tom was VP of Product Management, responsible for user experience. Before that, Tom was VP of Product for Break. There, he lead the teams responsible for product, user interface, mobile, brand diversification, and syndication. Before that, Tom held a variety of product-focused roles, specializing in media, community and communication properties, including AOL and Internet pioneers Spinner and Organic Online. Tom received his bachelor’s degree from the University of Pennsylvania and Masters at Northwestern.",,,,
y,y,y,y,f,Karen,Webster,CEO,Market Platform Dynamics,"CEO, Market Platform Dynamics",,,speaker,y,"As the CEO of Market Platform Dynamics, Karen works extensively with the most innovative players in the financial services, mobile, B2B and technology sectors to identify, ignite and monetize innovation. As an entrepreneur, Karen has successfully developed and launched new ventures in the payments, media and social commerce sectors, all of which used disruptive business models to gain market advantage. This includes PYMNTS.com, the leading B2B platform focused on innovation in the payments sector. Karen also serves as a member of the board for several emerging companies. Karen is a frequent speaker and writes extensively on innovation. She served as an adjunct faculty member at her alma mater, Johns Hopkins University, where also holds a Master’s Degree in Marketing.",,http://www.facebook.com/#!/KLWebster,@karenmpd,http://www.linkedin.com/profile/edit?trk=hb_tab_pro_top
y,y,y,y,m,Sean,Whiteley,SVP,salesforce.com,"SVP, salesforce.com",,,speaker,y,"Sean Whiteley is a Senior Vice President at salesforce.com where he is responsible for salesforce.com’s small business strategy and products as well as product marketing for salesforce's mobile product lines. Sean also manages salesforce.com’s strategic partnerships with Facebook, Twitter, Google, and Apple. Prior to joining salesforce.com, Whiteley was an entrepreneur and co-founder of Kieden, a company acquired by salesforce.com in 2006.",,,,
y,y,y,y,m,Hjalmar,Winbladh,Founder,Rebtel,"Founder, Rebtel",4,,speaker,y,"Hjalmar is the founder of the world's second largest mobile VoIP service Rebtel. Prior to Rebtel, Hjalmar was a strategy consultant and entrepreneur-in-residence at Investor AB, providing counsel for investments in the mobile/fixed convergence arena. Before that he co-founded and spent seven years as CEO of mobile technology innovator Sendit AB, successfully taking the firm public before it was acquired by Microsoft for $150m. Hjalmar is also on the board of one of Europe's largest multimedia groups - Axel Springer with 12000 employees, €3bn turnover and several hundred media like Europe's largest magazine Bild. He is also Venture Partner at Creandum, one of the largest Nordic Venture Capital Firms and advisor to Europe's most successful private equity firm EQT. ",,http://sv-se.facebook.com/hjalmar.winbladh,@HjalmarWinbladh,http://www.linkedin.com/in/hjalmarw
y,y,y,y,m,Philippe,Winthrop ,Managing Director ,The Enterprise Mobility Foundation ,"Managing Director, The Enterprise Mobility Foundation ",,,speaker,y,"Philippe Winthrop is the Founder and Managing Director of The Enterprise Mobility Foundation, the organization behind The Enterprise Mobility Forum, the fastest growing content portal and social network exclusively dedicated to enterprise mobility. Philippe has spent his entire career researching emerging technologies and their impact on the corporate value chain. Philippe focuses his thought leadership on enterprise mobility management and the issues around deploying and securing individual and corporate liable devices and the corporate applications and data that reside on those devices.",,,@biz_mobility,
y,y,y,y,m,Michael,Wolf,VP Research,GigaOM Pro,"VP Research, GigaOM Pro",,,speaker,y,"Michael Wolf has spent more than 10 years as an industry analyst, starting at In-Stat and launching the company’s consumer networking and digital media research services, and more recently was the digital home practice director for ABI. He’s been a columnist for Network World and has written a book on home networking for consumers. At GigaOM Pro, he oversees overall research efforts and serves as curator for the Connected Consumer.’",,,,
y,y,y,y,m,Brian,Wong,CEO,kiip,"CEO, kiip",,,speaker,y,"Brian Wong is the founder of kiip (pronounced ""keep""), a mobile rewards network, backed by True Ventures. He was an early Bachelors of Commerce graduate from the University of British Columbia, graduating at the age of 18, after skipping four grades in elementary and high school. Kiip has raised over $4.4 million in funding to date and is redefining the advertising industry through a ""moments""-based value model, versus the traditional attention based screen estate model. Very recently, Kiip was listed by Forbes as one of the ""4 Hot Online Ad Companies to Put on Your Watch List"". Before starting kiip, Brian was responsible for key publisher and tech partnerships at the social news website Digg.com.
",,http://facebook.com/briantfwong,@brian_wong,http://www.linkedin.com/in/wongbrian
y,y,y,y,m,Neil ,Young,CEO and Co-Founder,ngmoco,"CEO and Co-Founder, ngmoco",,,speaker,y,"Neil Young is the CEO and Founder of ngmoco, creator and publisher of games exclusively for iPad, iPhone and iPod touch. Prior to founding ngmoco, Neil held various positions at Electronic Arts, most recently as the Group General Manager of the EA|Blueprint Studio group that included Maxis (creators of Spore™ & The Sims™) and EA’s collaborative partnership with Steven Spielberg. Neil joined Electronic Arts in 1997 as the General Manager of EA’s Origin Systems subsidiary, where he supervised the launch of the world's first Massively Multiplayer Online Role-Playing game, UltimaOnline™.",,,,
y,y,y,y,f,Keren,Zemer,VP Business Development,Appsfire,"VP Business Development, Appsfire",,,speaker,y,"Keren Zemer is VP Business Development at Appsfire, a leading provider of mobile applications discovery and promotion. She is responsible for nurturing partnerships with developers and publishers and for developing new business initiatives. Prior to joining Appsfire, Keren held a few positions at Nokia. In her recent role she was head of Business Development and Product Marketing for Emerging Devices unit and before she led the Global Marketing for the Operator Channel, focusing at Hutchison and TIM. Keren brings an expertise in consumer value creation in the world of mobile ecosystems. Keren holds an MBA from INSEAD business school, and Bachelors in Industrial Engineering and Management from the Technion, the Israel Institute of Technology.",,,,http://www.linkedin.com/pub/keren-zemer/3/40/488
