,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp,P Facebook,P Twitter,P LinkedIn
y,y,y,y,m,        Lane,        Patterson,        Chief Technologist ,        Equinix    ,        Chief Technologist ,,,speaker,y,"        Lane Patterson is Chief Technologist for Equinix, where he: oversees network architecture, operations and development projects for the companyâ€™s large-scale interconnection platforms; heads the development of intelligent building management systems; and, leads the companyâ€™s initiatives to deliver innovative customer offerings that leverage next generation trends in networking, data centers and content delivery. He has led the development of Equinixâ€™s large-scale 10GbE (and soon to be 100GbE) Internet peering platforms, DWDM and optical transport services, and IPv6 and Multicast exchanges. Prior to joining Equinix, Mr. Patterson was Director of IP Network Management Systems for GlobalCrossing during the companyâ€™s global network buildout between 1997 and 2000. During 1995-1997, he operated the MAE-East exchange point at MFS Worldcom during the emergence of the first commercial ISPs.",,,,
y,y,y,y,m,        Drew,        Perkins,        Chief Technology Officer ,        Infinera    ,        Chief Technology Officer ,,,speaker,y,"        Drew D. Perkins co-founded Infinera in 2001, and played a key role in the creation of the Infinera optical networking system, the first optical system based on large-scale photonic integration. Previously, Drew co-founded metro service provider OnFiber and optical switching company Lightera. In the 1990s Drew was involved in the development of some of the early enabling technology for the Internet. He holds a B.S. in Electrical Engineering, Computer Engineering and Mathematics from Carnegie Mellon University.",,,,
y,y,y,y,m,        Geva,        Perry,        Chief Marketing Officer ,        GigaSpaces Technologies    ,        Chief Marketing Officer ,,,speaker,y,"        As Chief Marketing Officer, Geva Perry is responsible for all marketing and business development activities at GigaSpaces, including strategy and positioning, product marketing, corporate marketing and strategic alliances. Prior to joining GigaSpaces, Geva was Chief Operating Officer at SeeRun, a developer of real-time business activity monitoring software. In 1999, Geva co-founded and became General Partner of Synergy Ventures, a New York-based venture capital fund focused on enterprise software start-ups. Prior to founding Synergy, Geva worked at Earthweb, an online publisher of content for the developer community, before, during and after its highly successful IPO in 1998. Geva received a Bachelor&#8217;s degree from Hebrew University. He holds an MS from the Columbia Graduate School of Journalism and an MBA from Columbia Business School.",,,,
y,y,y,y,m,        Harald,        Prokop,        Senior Vice President of Engineering,        Akamai Technologies    ,        Senior Vice President of Engineering,,,speaker,y,"        Harald Prokop is Senior Vice President of Engineering at Akamai. Mr. Prokop manages the Company&#8217;s engineering efforts and is responsible for building the services that run on Akamai&#8217;s globally distributed computing platform. He also helps to define and is responsible for executing Akamai&#8217;s technology strategy with a focus on innovative, market-leading services based on customer requirements. Mr. Prokop joined Akamai in 1999 as one of Akamai&#8217;s first engineers and has held various leadership roles within Akamai&#8217;s Engineering department. Mr. Prokop is one of the architects of Akamai&#8217;s proprietary system for Internet performance measurement and traffic management, a key component of the Company&#8217;s services. He designed the development and testing process that brings Akamai services to market.",,,,
y,y,y,y,m, Dr. Lawrence G.,Roberts,Founder and Chairman,"Anagran, Inc. ",Founder and Chairman,,,speaker,y,"Dr. Lawrence G. Roberts is the founder and chairman of Anagran, Inc., a provider of high capacity flow management products dedicated to eliminating the potentially crippling effects of network traffic congestion from applications such as streaming video, P2P and video-on-demand. Anagran&#8217;s products enable video, voice, data and wireless traffic to effectively co-exist over converged IP networks. Roberts is recognized as one of the world&#8217;s foremost authorities on the Internet and networking. He led the team that designed and developed ARPANET, the world&#8217;s first major computer packet network, which evolved into the Internet. He and three others credited with founding the Internet were honored with National Academy of Engineeringâ€™s 2001 Draper Award, engineeringâ€™s highest honor. Roberts holds B.S., M.S., and PhD. degrees from MIT.",,,,
y,y,y,y,m,Jeremiah,Robison,Chief Technology Officer , Slide     ,Chief Technology Officer ,,,speaker,y,"Jeremiah is Chief Technology Officer and a founding member of the management team at Slide. As CTO, Jeremiah heads technology strategy and development for the company&#8217;s network of social entertainment applications. An early pioneer in mobile web technologies at Openwave, Jeremiah architected and built the first HTML browser for mobile phones. Under his leadership, the browser development team shipped more than a billion handsets worldwide and established Openwave Mobile Browser as the industry standard. Before Openwave, Jeremiah worked at Apple on hand-writing recognition for the Newton electronic organizer. He holds a Bachelors and Masters degree in Computer Science from Stanford University, where he also competed on the NCAA championship water polo team.",,,,
y,y,y,y,m,        Dave,        Schrader,        Director of Strategy and Marketing,        Teradata ,        Director of Strategy and Marketing,,,speaker,y,"        Dr. Dave Schrader is a Marketing Director in the Teradata Solutions group, responsible for the Active Enterprise Intelligence initiative, intended to help customers derive more value from their Enterprise Data Warehouses by writing new applications and applets for front-line employees and systems. This includes frontline systems like Call Centers and the web, as well as industry-specific points of contact like banking ATMs and retail Point of Sale devices. He is currently focused on collecting the best customer practices of AEI, and helping customers fast-track new uses of Teradata.",,,,
y,y,y,y,m,Dr. Jay,Subrahmonia,"Director, Advanced Customer Solutions",IBM,"Director, Advanced Customer Solutions",,,speaker,y,"Dr. Jay Subrahmonia, Director, Advanced Customer Solutions, joined IBM&#8217;s Software Group in September 2003. She manages a team whose mission is to work with leading-edge customers to develop cloud solutions. Her team has set up a number of worldwide Cloud Computing Centers in conjunction with IBM customers to pilot innovative applications of cloud technology. Her team also works with customers to develop Web 2.0-based solutions to accelerate time-to-market for new product concepts. Prior to joining Software Group, Dr. Subrahmonia managed a number of initiatives in IBM&#8217;s Research Center - the Digital Rights Management (DRM) group at the Almaden Research Center and the Pen technologies group at the Watson Research Center in New York. She received a PhD in electrical engineering from Brown University and BTech in Electrical Engineering from IIT Mumbai.",,,,
y,y,y,y,m, Joe,Weinman,Vice President of Strategic Solutions , AT&T    ,Vice President of Strategic Solutions ,,,speaker,y," Joe Weinman leads Strategic Solution Sales for AT&amp;T globally. A veteran of AT&amp;T, the world&#8217;s largest telecommunications company, he has held a variety of positions including research and development at AT&amp;T Bell Laboratories, marketing, sales, product management, engineering and operations, and corporate strategy and business development. He has a Bachelor of Science and Master of Science in Computer Science from Cornell University and the University of Wisconsin respectively, has completed Executive Education at the Institute for Management Development in Switzerland, and has been awarded 11 patents in the U.S. and internationally.",,,,
y,y,y,y,m,        Scott,        Wiener,        CTO ,        Cloud9 Analytics    ,        CTO ,,,speaker,y,"        Scott Wiener is a founder and the CTO of Cloud9 Analytics, an on-demand analytic CRM application and cloud computing company that helps enterprises optimize their front-office activities. Cloud9â€™s applications are powered by a proprietary pure SaaS analytics platform that eliminates the problematic ETL, database, and multi-dimensional cube architecture of traditional business intelligence solutions. Over a 23 year career, Scott has repeatedly founded successful companies at the forefront of new technological waves, such as document processing (Ann Arbor Softworks, acquired by Ashton-Tate), collaborative systems (Common Knowledge, acquired by CESoftware) and semantic search (Relevance, acquired by Documentum). Scott enjoys working with other entrepreneurs and has been an advisor to companies such as Apple, Frame, Be, Excite, Tumbleweed, Fabrik, Banter and TimeBridge.",,,,
y,y,y,y,m,        Jonathan,        Yarmis,"        VP Advanced, Emerging and Disruptive Technologies",        AMR Research,"        VP Advanced, Emerging and Disruptive Technologies",,,speaker,y,"        Jonathan has been involved on the leading edge of technology for 29 years. Getting involved in the PC industry in 1979 (2 years before IBM introduced its PC), Yarmis was one of Gartner&#8217;s first analysts, spending 10 years with the firm during its high growth era. He was a very early pioneer in the online business in the pre-Internet era and, as chairman of the @d:tech conference, he was involved in the very early days of the Internet explosion. After 5 years in the PR business working with leading tech industry brands, he returned to his analyst roots at AMR Research. His focus area of advanced, emerging and disruptive technologies includes focus on social networks and virtual worlds, mobility, cloud computing and advertising/alternative ecnomomic models.",,,,
